DATUM;1(TAFGA);2(TAFBA)
2020-11-26 00:00:00;0;0
2020-11-26 00:15:00;0;0
2020-11-26 00:30:00;0;0
2020-11-26 00:45:00;0;0
2020-11-26 01:00:00;0;0
2020-11-26 01:15:00;0;0
2020-11-26 01:30:00;0;0
2020-11-26 01:45:00;0;0
2020-11-26 02:00:00;0;0
2020-11-26 02:15:00;0;0
2020-11-26 02:30:00;0;0
2020-11-26 02:45:00;0;0
2020-11-26 03:00:00;0;0
2020-11-26 03:15:00;0;0
2020-11-26 03:30:00;0;0
2020-11-26 03:45:00;0;0
2020-11-26 04:00:00;0;0
2020-11-26 04:15:00;0;0
2020-11-26 04:30:00;0;0
2020-11-26 04:45:00;0;0
2020-11-26 05:00:00;0;0
2020-11-26 05:15:00;0;0
2020-11-26 05:30:00;0;0
2020-11-26 05:45:00;1;1
2020-11-26 06:00:00;3;0
2020-11-26 06:15:00;2;0
2020-11-26 06:30:00;6;6
2020-11-26 06:45:00;6;1
2020-11-26 07:00:00;4;0
2020-11-26 07:15:00;9;1
2020-11-26 07:30:00;14;0
2020-11-26 07:45:00;16;9
2020-11-26 08:00:00;11;4
2020-11-26 08:15:00;8;1
2020-11-26 08:30:00;8;3
2020-11-26 08:45:00;7;4
2020-11-26 09:00:00;15;12
2020-11-26 09:15:00;9;1
2020-11-26 09:30:00;14;0
2020-11-26 09:45:00;13;6
2020-11-26 10:00:00;10;1
2020-11-26 10:15:00;9;5
2020-11-26 10:30:00;15;0
2020-11-26 10:45:00;13;4
2020-11-26 11:00:00;16;9
2020-11-26 11:15:00;16;3
2020-11-26 11:30:00;15;2
2020-11-26 11:45:00;20;6
2020-11-26 12:00:00;21;2
2020-11-26 12:15:00;21;5
2020-11-26 12:30:00;18;0
2020-11-26 12:45:00;13;1
2020-11-26 13:00:00;14;4
2020-11-26 13:15:00;13;2
2020-11-26 13:30:00;14;4
2020-11-26 13:45:00;18;8
2020-11-26 14:00:00;16;5
2020-11-26 14:15:00;14;1
2020-11-26 14:30:00;18;12
2020-11-26 14:45:00;16;2
2020-11-26 15:00:00;12;6
2020-11-26 15:15:00;17;7
2020-11-26 15:30:00;11;5
2020-11-26 15:45:00;14;13
2020-11-26 16:00:00;20;17
2020-11-26 16:15:00;20;13
2020-11-26 16:30:00;17;5
2020-11-26 16:45:00;15;1
2020-11-26 17:00:00;17;5
2020-11-26 17:15:00;9;6
2020-11-26 17:30:00;22;7
2020-11-26 17:45:00;15;7
2020-11-26 18:00:00;14;6
2020-11-26 18:15:00;15;8
2020-11-26 18:30:00;10;7
2020-11-26 18:45:00;15;2
2020-11-26 19:00:00;14;7
2020-11-26 19:15:00;17;5
2020-11-26 19:30:00;10;5
2020-11-26 19:45:00;7;2
2020-11-26 20:00:00;6;4
2020-11-26 20:15:00;3;0
2020-11-26 20:30:00;0;1
2020-11-26 20:45:00;3;0
2020-11-26 21:00:00;1;1
2020-11-26 21:15:00;5;0
2020-11-26 21:30:00;1;3
2020-11-26 21:45:00;1;4
2020-11-26 22:00:00;4;1
2020-11-26 22:15:00;0;1
2020-11-26 22:30:00;3;2
2020-11-26 22:45:00;1;0
2020-11-26 23:00:00;1;0
2020-11-26 23:15:00;0;0
2020-11-26 23:30:00;0;0
2020-11-26 23:45:00;ERROR:;ORA-12541:;TNS:no;listener;SP2-0640:;Not;connected
