DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-11-15 00:00:00;0;3;0;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 00:15:00;0;8;0;5;4;1;1;1;2;1;0;0;2;0;0;0;0;0;0;0
2020-11-15 00:30:00;0;3;0;4;2;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0
2020-11-15 00:45:00;1;4;0;1;2;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0
2020-11-15 01:00:00;0;7;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 01:15:00;0;4;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 01:30:00;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 01:45:00;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 02:00:00;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 02:15:00;0;4;0;2;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
2020-11-15 02:30:00;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 02:45:00;0;2;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 03:00:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 03:15:00;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 03:45:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 04:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 04:15:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 04:45:00;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 05:00:00;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 05:15:00;0;2;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 05:30:00;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 05:45:00;1;5;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-15 06:00:00;0;3;0;4;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
