DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-08-21 00:00:00;0;6;5;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 00:15:00;3;7;3;2;2;1;4;2;0;0;1;0;0;0;0;0;0;0
2020-08-21 00:30:00;1;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 00:45:00;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 01:00:00;0;4;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 01:15:00;1;4;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 01:30:00;1;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 01:45:00;2;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
2020-08-21 02:00:00;1;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 02:15:00;3;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 02:30:00;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 02:45:00;0;3;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 03:00:00;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 03:15:00;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 03:30:00;1;1;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
2020-08-21 03:45:00;0;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 04:00:00;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 04:15:00;2;3;0;1;0;3;1;0;0;0;1;0;0;0;0;0;0;0
2020-08-21 04:30:00;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 04:45:00;1;6;1;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-21 05:00:00;5;11;5;3;1;5;3;1;0;0;0;0;0;0;0;4;0;0
