DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2020-06-29 00:00:00;0;1;0;0;0;0;0;0;0
2020-06-29 00:15:00;3;0;0;0;0;0;0;0;0
2020-06-29 00:30:00;0;0;0;0;0;0;0;0;0
2020-06-29 00:45:00;0;0;0;0;0;0;0;0;0
2020-06-29 01:00:00;0;1;1;0;0;0;0;0;0
2020-06-29 01:15:00;1;0;0;0;0;0;0;0;0
2020-06-29 01:30:00;0;0;0;0;0;0;0;0;0
2020-06-29 01:45:00;0;0;0;0;0;0;0;0;0
2020-06-29 02:00:00;0;0;0;0;0;0;0;0;0
2020-06-29 02:15:00;0;0;2;0;0;0;0;0;0
2020-06-29 02:30:00;0;0;1;0;0;0;0;0;0
2020-06-29 02:45:00;0;0;0;0;0;0;0;0;0
2020-06-29 03:00:00;0;0;0;0;0;0;0;0;0
2020-06-29 03:15:00;1;0;0;0;0;0;0;0;0
2020-06-29 03:30:00;0;0;0;0;0;0;0;0;0
2020-06-29 03:45:00;0;0;0;0;0;0;0;0;0
2020-06-29 04:00:00;0;0;0;0;0;0;0;0;0
2020-06-29 04:15:00;0;0;0;0;0;0;0;0;0
2020-06-29 04:30:00;0;0;0;0;0;0;0;0;0
2020-06-29 04:45:00;0;0;3;0;0;0;0;0;0
2020-06-29 05:00:00;1;0;2;0;0;0;0;0;0
2020-06-29 05:15:00;0;1;1;0;0;0;0;0;0
2020-06-29 05:30:00;2;0;3;0;0;0;0;0;0
2020-06-29 05:45:00;5;1;1;0;0;0;0;0;0
2020-06-29 06:00:00;2;2;2;0;1;0;0;0;0
2020-06-29 06:15:00;0;1;0;0;0;1;0;0;0
2020-06-29 06:30:00;3;5;7;0;1;0;0;4;1
2020-06-29 06:45:00;5;4;8;3;0;3;0;0;0
2020-06-29 07:00:00;6;3;5;1;0;1;0;0;0
2020-06-29 07:15:00;7;2;5;3;0;1;0;0;0
2020-06-29 07:30:00;11;5;5;5;1;0;1;1;3
2020-06-29 07:45:00;18;2;5;8;1;2;0;2;0
2020-06-29 08:00:00;16;7;11;5;1;3;3;0;0
2020-06-29 08:15:00;24;1;8;7;2;0;0;0;0
2020-06-29 08:30:00;30;1;4;10;4;1;1;0;0
2020-06-29 08:45:00;34;2;5;7;2;1;0;2;0
2020-06-29 09:00:00;42;3;5;2;7;1;2;1;0
2020-06-29 09:15:00;37;7;10;3;3;0;2;2;0
2020-06-29 09:30:00;52;3;5;4;5;2;3;1;0
2020-06-29 09:45:00;69;2;7;3;9;1;0;0;2
2020-06-29 10:00:00;56;3;4;2;9;0;2;9;5
2020-06-29 10:15:00;53;4;7;5;3;0;0;0;2
2020-06-29 10:30:00;51;3;8;10;3;0;1;2;0
2020-06-29 10:45:00;74;6;9;3;9;0;0;6;1
2020-06-29 11:00:00;74;4;8;4;6;0;2;0;0
2020-06-29 11:15:00;64;6;10;7;4;1;1;3;0
2020-06-29 11:30:00;48;1;2;2;6;0;0;0;0
2020-06-29 11:45:00;68;8;11;3;6;2;0;2;0
2020-06-29 12:00:00;72;6;14;5;4;0;2;1;11
2020-06-29 12:15:00;67;14;13;9;7;0;1;2;0
2020-06-29 12:30:00;53;10;12;2;8;0;3;1;1
2020-06-29 12:45:00;89;8;16;5;1;2;0;1;0
2020-06-29 13:00:00;86;9;12;1;5;0;4;1;3
2020-06-29 13:15:00;67;13;14;2;7;1;2;4;0
2020-06-29 13:30:00;54;6;18;3;2;0;3;1;0
2020-06-29 13:45:00;70;12;13;5;6;1;2;0;0
2020-06-29 14:00:00;52;12;14;4;4;0;2;5;0
2020-06-29 14:15:00;72;18;20;5;0;0;2;11;0
2020-06-29 14:30:00;86;21;22;6;4;0;0;0;0
2020-06-29 14:45:00;77;13;26;3;8;2;6;22;0
2020-06-29 15:00:00;70;23;13;4;5;1;2;0;2
2020-06-29 15:15:00;77;17;31;6;5;0;4;5;3
2020-06-29 15:30:00;82;14;20;11;3;0;3;19;0
2020-06-29 15:45:00;89;10;19;11;2;5;4;12;2
2020-06-29 16:00:00;79;13;25;3;1;0;2;2;0
2020-06-29 16:15:00;78;12;22;3;2;3;5;0;0
2020-06-29 16:30:00;79;16;22;3;4;1;3;1;1
2020-06-29 16:45:00;59;17;23;3;5;3;0;0;0
2020-06-29 17:00:00;81;23;27;15;5;2;3;26;3
2020-06-29 17:15:00;80;18;19;2;10;3;3;9;2
2020-06-29 17:30:00;74;17;28;9;4;0;0;38;2
2020-06-29 17:45:00;93;22;23;5;6;3;4;2;0
2020-06-29 18:00:00;79;12;16;5;4;1;3;6;0
2020-06-29 18:15:00;75;7;24;6;5;0;2;6;1
2020-06-29 18:30:00;75;11;17;4;3;1;3;1;30
2020-06-29 18:45:00;60;15;27;1;3;4;3;0;0
2020-06-29 19:00:00;69;12;21;3;4;1;3;8;0
2020-06-29 19:15:00;67;8;11;2;6;0;3;1;12
2020-06-29 19:30:00;53;10;22;1;1;0;3;1;0
2020-06-29 19:45:00;46;9;14;3;1;1;2;2;3
2020-06-29 20:00:00;37;7;17;4;1;1;0;2;3
2020-06-29 20:15:00;31;10;12;1;4;3;2;5;0
2020-06-29 20:30:00;15;5;13;4;2;0;2;12;0
2020-06-29 20:45:00;16;3;4;0;6;0;1;1;0
2020-06-29 21:00:00;12;1;8;3;1;0;1;1;3
2020-06-29 21:15:00;13;1;8;1;1;0;1;0;0
2020-06-29 21:30:00;15;3;9;1;2;0;0;0;2
2020-06-29 21:45:00;10;4;7;0;1;0;1;0;0
2020-06-29 22:00:00;11;5;5;2;0;0;1;0;0
2020-06-29 22:15:00;10;5;6;1;0;1;0;0;0
2020-06-29 22:30:00;7;3;1;0;0;1;0;0;0
2020-06-29 22:45:00;2;0;4;0;0;0;1;0;0
2020-06-29 23:00:00;7;0;2;0;0;0;0;0;0
2020-06-29 23:15:00;5;2;3;0;0;0;0;0;0
2020-06-29 23:30:00;2;0;0;0;0;0;0;0;0
2020-06-30 00:00:00;2;1;2;0;0;0;0;0;0
2020-06-30 00:15:00;1;0;1;0;0;0;0;0;0
2020-06-30 00:30:00;2;0;0;0;0;0;0;0;0
2020-06-30 00:45:00;0;0;0;0;0;0;0;0;0
2020-06-30 01:00:00;0;0;0;0;0;0;0;0;0
2020-06-30 01:15:00;1;0;0;0;0;0;0;0;0
2020-06-30 01:30:00;0;0;1;0;0;0;0;0;0
2020-06-30 01:45:00;0;0;0;0;0;0;0;0;0
2020-06-30 02:00:00;2;0;1;0;0;0;0;0;0
2020-06-30 02:15:00;0;0;0;0;0;0;0;0;0
2020-06-30 02:30:00;0;0;1;0;0;0;0;0;0
2020-06-30 02:45:00;0;0;0;0;0;0;0;0;0
2020-06-30 03:00:00;0;0;0;0;0;0;0;0;0
2020-06-30 03:15:00;1;0;0;0;0;0;0;0;0
2020-06-30 03:30:00;0;0;0;0;0;0;0;0;0
2020-06-30 03:45:00;1;0;0;0;0;0;0;0;0
2020-06-30 04:00:00;0;0;0;0;0;0;0;0;0
2020-06-30 04:15:00;0;0;1;0;0;0;0;0;0
2020-06-30 04:30:00;0;0;0;0;0;0;0;0;0
2020-06-30 04:45:00;0;0;2;0;0;0;0;0;0
2020-06-30 05:00:00;1;0;4;0;0;0;0;0;0
2020-06-30 05:15:00;2;1;7;0;0;0;0;0;0
2020-06-30 05:30:00;0;1;3;0;0;0;0;0;0
2020-06-30 05:45:00;7;2;5;0;0;0;0;0;0
2020-06-30 06:00:00;2;1;8;2;0;0;1;0;0
2020-06-30 06:15:00;3;2;5;0;0;1;0;0;0
2020-06-30 06:30:00;1;2;8;1;0;1;1;0;0
2020-06-30 06:45:00;6;11;13;1;3;1;0;1;5
2020-06-30 07:00:00;13;5;9;0;0;3;0;0;0
2020-06-30 07:15:00;12;7;15;3;0;1;0;0;0
2020-06-30 07:30:00;13;5;11;5;1;2;1;10;0
2020-06-30 07:45:00;18;9;11;7;1;1;2;2;0
2020-06-30 08:00:00;15;6;13;8;0;1;1;0;0
2020-06-30 08:15:00;16;8;15;6;1;0;0;0;1
2020-06-30 08:30:00;26;4;8;3;3;3;5;0;0
2020-06-30 08:45:00;31;14;24;9;4;1;1;0;0
2020-06-30 09:00:00;32;14;10;6;4;1;0;0;1
2020-06-30 09:15:00;36;9;12;6;10;0;0;0;1
2020-06-30 09:30:00;57;14;15;6;5;1;3;0;2
2020-06-30 09:45:00;58;9;15;4;7;1;3;0;5
2020-06-30 10:15:00;36;13;23;5;8;0;0;13;0
2020-06-30 10:30:00;46;9;19;7;3;0;3;41;3
2020-06-30 10:45:00;50;14;19;4;5;1;0;0;1
2020-06-30 11:00:00;53;15;33;5;8;1;3;0;4
2020-06-30 11:15:00;55;12;25;3;5;0;3;2;0
2020-06-30 11:30:00;65;16;17;5;7;1;0;1;12
2020-06-30 11:45:00;64;16;29;5;7;2;0;35;32
2020-06-30 12:00:00;67;15;38;8;4;2;3;1;5
2020-06-30 12:15:00;65;15;20;6;4;0;2;4;0
2020-06-30 12:30:00;51;9;14;9;4;3;3;7;0
2020-06-30 12:45:00;59;11;22;3;3;2;5;6;3
2020-06-30 13:00:00;68;13;11;6;4;0;0;13;6
2020-06-30 13:15:00;43;11;32;4;5;0;3;0;1
2020-06-30 13:30:00;57;18;28;2;4;3;1;0;10
2020-06-30 13:45:00;58;19;27;5;2;1;2;1;0
2020-06-30 14:00:00;49;14;12;3;4;3;3;0;0
2020-06-30 14:15:00;43;13;23;5;9;1;1;3;4
2020-06-30 14:30:00;72;15;27;8;2;4;4;8;1
2020-06-30 14:45:00;62;11;17;5;5;2;3;0;2
2020-06-30 15:00:00;61;18;29;3;5;0;2;0;0
2020-06-30 15:15:00;59;14;35;3;1;2;1;5;0
2020-06-30 15:30:00;64;13;16;2;3;1;1;1;2
2020-06-30 15:45:00;65;14;31;3;8;1;1;2;15
2020-06-30 16:00:00;61;13;27;5;3;2;6;3;7
2020-06-30 16:15:00;66;17;28;4;8;1;12;4;0
2020-06-30 16:30:00;61;16;26;3;4;2;4;0;3
2020-06-30 16:45:00;73;20;29;9;2;0;3;4;0
2020-06-30 17:00:00;67;6;21;8;3;1;1;12;0
2020-06-30 17:15:00;82;11;33;8;1;2;4;19;1
2020-06-30 17:30:00;80;20;33;8;0;2;2;52;1
2020-06-30 17:45:00;78;17;31;5;1;0;2;1;0
2020-06-30 18:00:00;73;13;28;2;3;1;4;0;6
2020-06-30 18:15:00;52;7;24;3;2;0;6;1;4
2020-06-30 18:30:00;47;19;32;3;5;1;2;5;0
2020-06-30 18:45:00;65;16;29;5;3;5;1;4;67
2020-06-30 19:00:00;54;25;25;2;4;1;1;2;2
2020-06-30 19:15:00;57;15;28;3;1;0;4;1;0
2020-06-30 19:30:00;46;10;13;6;6;2;6;2;4
2020-06-30 19:45:00;37;11;18;6;0;0;1;2;0
2020-06-30 20:00:00;53;13;27;2;1;3;2;0;5
2020-06-30 20:15:00;23;8;18;4;1;3;1;6;5
2020-06-30 20:30:00;16;3;10;2;5;0;4;0;6
2020-06-30 20:45:00;17;4;17;3;0;1;4;15;0
2020-06-30 21:00:00;14;9;6;5;6;1;0;0;4
2020-06-30 21:15:00;12;5;11;0;2;1;0;0;1
2020-06-30 21:30:00;11;4;13;2;2;0;1;0;20
2020-06-30 21:45:00;12;1;8;0;1;0;0;0;0
2020-06-30 22:00:00;10;4;10;1;1;0;0;1;0
2020-06-30 22:15:00;6;2;4;1;0;0;1;0;0
2020-06-30 22:30:00;6;3;4;1;0;0;1;0;0
2020-06-30 22:45:00;10;0;5;0;0;0;2;0;0
2020-06-30 23:00:00;8;5;5;0;0;1;0;0;0
2020-06-30 23:15:00;6;1;4;0;0;0;0;0;0
2020-06-30 23:30:00;7;0;3;0;0;0;0;0;0
