DATUM;1(TAFGA);2(TAFBA)
2019-11-26 00:00:00;0;0
2019-11-26 00:15:00;0;0
2019-11-26 00:30:00;0;0
2019-11-26 00:45:00;0;0
2019-11-26 01:00:00;0;0
2019-11-26 01:15:00;0;0
2019-11-26 01:30:00;0;0
2019-11-26 01:45:00;0;0
2019-11-26 02:00:00;0;0
2019-11-26 02:15:00;0;0
2019-11-26 02:30:00;0;0
2019-11-26 02:45:00;0;0
2019-11-26 03:00:00;0;0
2019-11-26 03:15:00;0;0
2019-11-26 03:30:00;0;0
2019-11-26 03:45:00;0;0
2019-11-26 04:00:00;0;0
2019-11-26 04:15:00;0;0
2019-11-26 04:30:00;0;0
2019-11-26 04:45:00;0;0
2019-11-26 05:00:00;0;0
2019-11-26 05:15:00;0;0
2019-11-26 05:30:00;0;0
2019-11-26 05:45:00;0;0
2019-11-26 06:00:00;0;0
2019-11-26 06:15:00;0;0
2019-11-26 06:30:00;6;0
2019-11-26 06:45:00;10;0
2019-11-26 07:00:00;47;0
2019-11-26 07:15:00;90;0
2019-11-26 07:30:00;29;6
2019-11-26 07:45:00;55;0
2019-11-26 08:00:00;15;0
2019-11-26 08:15:00;24;2
2019-11-26 08:30:00;8;0
2019-11-26 08:45:00;5;0
2019-11-26 11:45:00;8;0
2019-11-26 12:00:00;15;0
2019-11-26 12:15:00;5;0
2019-11-26 12:30:00;11;0
2019-11-26 12:45:00;11;1
2019-11-26 13:00:00;43;3
2019-11-26 13:15:00;60;8
2019-11-26 13:30:00;38;0
2019-11-26 13:45:00;30;3
2019-11-26 14:00:00;25;5
2019-11-26 14:15:00;48;2
2019-11-26 14:30:00;24;0
2019-11-26 14:45:00;4;0
2019-11-26 15:00:00;26;0
2019-11-26 15:15:00;34;0
2019-11-26 15:30:00;6;0
2019-11-26 15:45:00;33;0
2019-11-26 16:00:00;65;15
2019-11-26 16:15:00;51;2
2019-11-26 16:30:00;38;1
2019-11-26 16:45:00;8;0
2019-11-26 17:00:00;13;0
2019-11-26 17:15:00;26;8
2019-11-26 17:30:00;26;0
2019-11-26 17:45:00;48;0
2019-11-26 18:00:00;13;0
2019-11-26 18:15:00;1;0
2019-11-26 18:30:00;11;0
2019-11-26 18:45:00;0;0
2019-11-26 19:00:00;20;3
2019-11-26 19:15:00;0;0
2019-11-26 19:30:00;0;0
2019-11-26 19:45:00;0;1
2019-11-26 20:00:00;0;0
2019-11-26 20:15:00;0;0
2019-11-26 20:30:00;0;0
2019-11-26 20:45:00;0;0
2019-11-26 21:00:00;0;0
2019-11-26 21:15:00;0;0
2019-11-26 21:30:00;0;0
2019-11-26 21:45:00;0;0
2019-11-26 22:00:00;4;0
2019-11-26 22:15:00;0;0
2019-11-26 22:30:00;0;0
2019-11-26 22:45:00;0;0
2019-11-26 23:00:00;0;0
2019-11-26 23:15:00;0;0
2019-11-26 23:30:00;0;0
