DATUM;1(DA1);2(TAFBA)
2020-09-25 00:00:00;3;0
2020-09-25 00:15:00;0;0
2020-09-25 00:30:00;1;0
2020-09-25 00:45:00;0;0
2020-09-25 01:00:00;0;0
2020-09-25 01:15:00;1;0
2020-09-25 01:30:00;1;0
2020-09-25 01:45:00;2;0
2020-09-25 02:00:00;0;0
2020-09-25 02:15:00;2;0
2020-09-25 02:30:00;1;0
2020-09-25 02:45:00;0;0
2020-09-25 03:00:00;1;0
2020-09-25 03:15:00;1;0
2020-09-25 03:30:00;0;0
2020-09-25 03:45:00;1;0
2020-09-25 04:00:00;1;0
2020-09-25 04:15:00;1;0
2020-09-25 04:30:00;1;0
2020-09-25 04:45:00;2;0
2020-09-25 05:00:00;0;0
2020-09-25 05:15:00;2;0
2020-09-25 05:30:00;3;0
2020-09-25 05:45:00;12;0
2020-09-25 06:00:00;12;0
2020-09-25 06:15:00;15;0
2020-09-25 06:30:00;18;0
2020-09-25 06:45:00;31;0
2020-09-25 07:00:00;24;0
2020-09-25 07:15:00;68;0
2020-09-25 07:30:00;21;0
2020-09-25 07:45:00;
2020-09-25 08:00:00;
2020-09-25 08:15:00;
2020-09-25 08:30:00;
2020-09-25 08:45:00;
2020-09-25 09:00:00;
2020-09-25 09:15:00;36;0
2020-09-25 09:30:00;56;0
2020-09-25 09:45:00;50;0
2020-09-25 10:00:00;44;0
2020-09-25 10:15:00;33;0
2020-09-25 10:30:00;41;0
2020-09-25 10:45:00;51;0
2020-09-25 11:00:00;42;0
2020-09-25 11:15:00;34;0
2020-09-25 11:30:00;43;0
2020-09-25 11:45:00;40;0
2020-09-25 12:00:00;28;0
2020-09-25 12:15:00;39;0
2020-09-25 12:30:00;46;0
2020-09-25 12:45:00;49;0
2020-09-25 13:00:00;69;0
2020-09-25 13:15:00;51;0
2020-09-25 13:30:00;45;0
2020-09-25 13:45:00;46;0
2020-09-25 14:00:00;37;0
2020-09-25 14:15:00;48;0
2020-09-25 14:30:00;58;0
2020-09-25 14:45:00;38;0
2020-09-25 15:00:00;41;0
2020-09-25 15:15:00;36;0
2020-09-25 15:30:00;35;0
2020-09-25 15:45:00;39;0
2020-09-25 16:00:00;50;0
2020-09-25 16:15:00;44;0
2020-09-25 16:30:00;38;0
2020-09-25 16:45:00;32;0
2020-09-25 17:00:00;43;0
2020-09-25 17:15:00;48;0
2020-09-25 17:30:00;63;0
2020-09-25 17:45:00;45;0
2020-09-25 18:00:00;28;0
2020-09-25 18:15:00;41;0
2020-09-25 18:30:00;27;0
2020-09-25 18:45:00;40;0
2020-09-25 19:00:00;22;0
2020-09-25 19:15:00;29;0
2020-09-25 19:30:00;28;0
2020-09-25 19:45:00;41;0
2020-09-25 20:00:00;38;0
2020-09-25 20:15:00;23;0
2020-09-25 20:30:00;14;0
2020-09-25 20:45:00;11;0
2020-09-25 21:00:00;2;0
2020-09-25 21:15:00;8;0
2020-09-25 21:30:00;6;0
2020-09-25 21:45:00;13;0
2020-09-25 22:00:00;9;0
2020-09-25 22:15:00;10;0
2020-09-25 22:30:00;3;0
2020-09-25 22:45:00;10;0
2020-09-25 23:00:00;5;0
2020-09-25 23:15:00;3;0
2020-09-25 23:30:00;5;0
2020-09-25 23:45:00;12;0
