DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2019-12-12 00:00:00;0;7;0;5;2;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0
2019-12-12 00:15:00;0;5;2;4;6;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2019-12-12 00:30:00;0;2;0;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2019-12-12 00:45:00;0;2;1;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 01:00:00;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 01:15:00;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 01:30:00;0;4;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 01:45:00;0;6;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 02:00:00;0;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 02:15:00;0;7;1;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 02:30:00;0;5;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 02:45:00;0;7;0;3;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 03:00:00;1;5;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 03:15:00;0;3;0;4;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2019-12-12 03:30:00;1;11;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2019-12-12 03:45:00;0;6;0;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 04:00:00;0;7;1;5;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 04:15:00;0;6;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-12-12 04:30:00;1;6;2;6;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2019-12-12 04:45:00;1;15;0;8;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
