DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2020-12-13 00:00:00;1;1;0;0;0;0
2020-12-13 00:15:00;0;0;0;0;0;0
2020-12-13 00:30:00;0;0;0;0;0;0
2020-12-13 00:45:00;0;0;0;0;0;0
2020-12-13 01:00:00;2;2;0;0;0;0
2020-12-13 01:15:00;0;0;0;0;0;0
2020-12-13 01:30:00;0;3;0;0;0;0
2020-12-13 01:45:00;0;0;0;0;0;0
2020-12-13 02:00:00;1;1;0;0;0;0
2020-12-13 02:15:00;0;0;0;0;0;0
2020-12-13 02:30:00;0;0;0;0;0;0
2020-12-13 02:45:00;0;0;0;0;0;0
2020-12-13 03:00:00;0;0;0;0;0;0
2020-12-13 03:15:00;0;0;0;0;0;0
2020-12-13 03:30:00;0;0;0;0;0;0
2020-12-13 03:45:00;1;1;0;0;0;0
2020-12-13 04:00:00;0;1;0;0;0;0
2020-12-13 04:15:00;0;0;0;0;0;0
2020-12-13 04:30:00;1;0;0;0;0;0
2020-12-13 04:45:00;0;0;0;0;0;0
2020-12-13 05:00:00;1;1;0;0;0;0
2020-12-13 05:15:00;0;2;0;0;0;0
2020-12-13 05:30:00;3;0;0;0;0;0
2020-12-13 05:45:00;3;1;0;0;0;0
2020-12-13 06:00:00;1;5;0;0;0;0
2020-12-13 06:15:00;0;1;0;0;0;0
2020-12-13 06:30:00;0;1;0;0;0;0
2020-12-13 06:45:00;1;0;0;0;0;0
2020-12-13 07:00:00;0;1;0;0;0;0
2020-12-13 07:15:00;2;0;0;0;0;0
2020-12-13 07:30:00;0;2;0;0;0;0
2020-12-13 07:45:00;1;0;0;0;0;0
2020-12-13 08:00:00;2;2;0;0;0;0
2020-12-13 08:15:00;1;1;0;0;0;0
2020-12-13 08:30:00;7;4;0;0;0;0
2020-12-13 08:45:00;1;0;0;0;0;0
2020-12-13 09:00:00;5;7;0;0;0;0
2020-12-13 09:15:00;1;3;0;0;0;0
2020-12-13 09:30:00;4;2;0;0;0;0
2020-12-13 09:45:00;8;4;1;0;0;0
2020-12-13 10:00:00;2;3;0;0;0;0
2020-12-13 10:15:00;5;2;0;2;0;0
2020-12-13 10:30:00;8;6;0;0;0;0
2020-12-13 10:45:00;12;7;1;0;0;0
2020-12-13 11:00:00;7;7;0;1;0;0
2020-12-13 11:15:00;6;4;1;0;0;0
2020-12-13 11:30:00;4;7;0;2;0;0
2020-12-13 11:45:00;5;8;0;0;0;0
2020-12-13 12:00:00;6;9;1;0;0;0
2020-12-13 12:15:00;4;8;2;0;0;0
2020-12-13 12:30:00;6;9;0;0;0;0
2020-12-13 12:45:00;3;4;1;3;0;0
2020-12-13 13:00:00;4;10;1;1;0;0
2020-12-13 13:15:00;4;6;0;1;0;0
2020-12-13 13:30:00;3;3;2;2;0;0
2020-12-13 13:45:00;8;13;1;0;0;0
2020-12-13 14:00:00;7;11;1;0;0;0
2020-12-13 14:15:00;9;9;1;0;0;0
2020-12-13 14:30:00;7;5;1;1;0;0
2020-12-13 14:45:00;7;8;4;1;0;0
2020-12-13 15:00:00;6;15;1;9;0;0
2020-12-13 15:15:00;10;9;6;1;0;0
2020-12-13 15:30:00;7;1;4;3;0;0
2020-12-13 15:45:00;7;12;4;3;0;0
2020-12-13 16:00:00;13;12;1;2;0;0
2020-12-13 16:15:00;9;8;2;2;0;0
2020-12-13 16:30:00;2;13;3;0;0;0
2020-12-13 16:45:00;9;9;0;0;0;0
2020-12-13 17:00:00;1;4;1;0;0;0
2020-12-13 17:15:00;6;8;2;0;0;0
2020-12-13 17:30:00;11;10;0;0;0;0
2020-12-13 17:45:00;5;2;0;0;0;0
2020-12-13 18:00:00;4;5;0;0;0;0
2020-12-13 18:15:00;3;2;0;0;0;0
2020-12-13 18:30:00;9;8;0;0;0;0
2020-12-13 18:45:00;5;3;0;0;0;0
2020-12-13 19:00:00;3;7;0;0;0;0
2020-12-13 19:15:00;2;1;0;0;0;0
2020-12-13 19:30:00;1;5;0;0;0;0
2020-12-13 19:45:00;2;1;0;0;0;0
2020-12-13 20:00:00;6;3;0;0;0;0
2020-12-13 20:15:00;5;3;0;0;0;0
2020-12-13 20:30:00;3;1;0;0;0;0
2020-12-13 20:45:00;3;0;0;0;0;0
2020-12-13 21:00:00;1;1;0;0;0;0
2020-12-13 21:15:00;0;0;0;0;0;0
2020-12-13 21:30:00;4;2;0;0;0;0
2020-12-13 21:45:00;6;0;0;0;0;0
2020-12-13 22:00:00;1;5;0;0;0;0
2020-12-13 22:15:00;1;0;0;0;0;0
2020-12-13 22:30:00;0;0;0;0;0;0
2020-12-13 22:45:00;0;1;0;0;0;0
2020-12-13 23:00:00;2;2;0;0;0;0
2020-12-13 23:15:00;1;0;0;0;0;0
2020-12-13 23:30:00;1;0;0;0;0;0
2020-12-13 23:45:00;0;0;0;0;0;0
