DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-08-06 00:00:00;1;8;2;4;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 00:15:00;0;4;1;6;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 00:30:00;0;2;1;5;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2020-08-06 00:45:00;0;4;0;4;0;0;1;2;3;1;2;0;1;2;0;0;0;0;0;0
2020-08-06 01:00:00;0;3;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 01:15:00;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 01:30:00;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 01:45:00;0;2;0;1;1;1;0;1;3;0;1;1;0;1;0;0;0;0;0;0
2020-08-06 02:00:00;0;5;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 02:15:00;1;2;0;5;4;1;0;1;1;0;2;0;0;2;0;0;0;0;0;0
2020-08-06 02:30:00;0;3;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 02:45:00;0;6;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 03:00:00;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 03:15:00;0;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 03:30:00;1;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 03:45:00;0;7;0;3;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-08-06 04:00:00;0;7;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 04:15:00;0;8;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 04:30:00;0;7;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 04:45:00;2;12;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 05:00:00;0;17;2;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-06 05:15:00;2;26;10;24;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
