DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2019-11-17 00:00:00;0;1;0;0;0;0;0;0
2019-11-17 00:15:00;0;2;2;1;0;0;0;0
2019-11-17 00:30:00;0;3;1;1;0;0;0;0
2019-11-17 00:45:00;0;0;0;0;0;0;0;0
2019-11-17 01:00:00;1;3;1;0;1;0;0;0
2019-11-17 01:15:00;1;1;1;0;0;0;0;0
2019-11-17 01:30:00;0;1;0;0;0;0;0;0
2019-11-17 01:45:00;0;0;0;0;0;0;0;0
2019-11-17 02:00:00;0;1;2;1;0;0;0;0
2019-11-17 02:15:00;0;2;1;1;0;0;0;0
2019-11-17 02:30:00;0;0;0;0;0;0;0;0
2019-11-17 02:45:00;0;2;1;1;0;0;0;0
2019-11-17 03:00:00;0;1;1;0;0;0;0;0
2019-11-17 03:15:00;0;0;1;0;0;0;0;0
2019-11-17 03:30:00;0;0;0;0;0;0;0;0
2019-11-17 03:45:00;0;0;1;0;0;0;0;0
2019-11-17 04:00:00;0;0;2;1;0;0;0;0
2019-11-17 04:15:00;0;0;1;0;0;0;0;0
2019-11-17 04:30:00;0;0;0;0;0;0;0;0
2019-11-17 04:45:00;0;0;0;0;0;0;0;0
2019-11-17 05:00:00;0;0;1;0;0;0;0;0
2019-11-17 05:15:00;0;0;1;1;0;0;0;0
2019-11-17 05:30:00;0;2;2;1;0;0;0;0
2019-11-17 05:45:00;0;1;2;0;0;0;0;0
2019-11-17 06:00:00;0;2;1;1;0;0;0;0
2019-11-17 06:15:00;0;2;2;1;0;0;0;0
2019-11-17 06:30:00;0;1;13;5;0;0;0;0
2019-11-17 06:45:00;0;4;7;5;0;0;0;0
2019-11-17 07:00:00;0;1;0;0;0;0;0;0
2019-11-17 07:15:00;0;8;0;0;0;0;0;0
2019-11-17 07:30:00;1;5;0;0;0;0;0;0
2019-11-17 07:45:00;0;5;1;0;0;0;0;0
2019-11-17 08:00:00;0;7;0;0;0;0;0;0
2019-11-17 08:15:00;0;4;2;0;0;0;0;0
2019-11-17 08:30:00;0;1;2;0;0;0;0;0
2019-11-17 08:45:00;1;2;0;0;0;0;0;0
2019-11-17 09:00:00;0;2;2;1;0;0;0;0
2019-11-17 09:15:00;0;4;5;1;0;0;0;0
2019-11-17 09:30:00;0;17;11;3;0;0;0;0
2019-11-17 09:45:00;0;5;6;1;0;0;0;0
2019-11-17 10:00:00;0;7;7;3;1;0;0;0
2019-11-17 10:15:00;1;2;8;4;0;0;0;0
2019-11-17 10:30:00;1;6;2;2;1;0;0;0
2019-11-17 10:45:00;0;6;3;1;4;0;0;0
2019-11-17 11:00:00;0;2;2;1;0;0;0;0
2019-11-17 11:15:00;1;7;5;0;0;0;0;0
2019-11-17 11:30:00;0;7;14;5;0;0;0;0
2019-11-17 11:45:00;0;9;8;3;0;0;0;0
2019-11-17 12:00:00;0;7;18;7;1;0;0;0
2019-11-17 12:15:00;0;9;17;7;0;0;0;0
2019-11-17 12:30:00;0;18;25;9;1;0;0;0
2019-11-17 12:45:00;2;7;14;6;1;0;0;0
2019-11-17 13:00:00;1;6;10;3;2;0;0;0
2019-11-17 13:15:00;1;15;5;4;0;0;0;0
2019-11-17 13:30:00;2;24;8;2;2;0;0;0
2019-11-17 13:45:00;2;14;3;3;1;0;0;0
2019-11-17 14:00:00;1;40;9;4;1;0;0;0
2019-11-17 14:15:00;0;15;9;2;1;0;0;0
2019-11-17 14:30:00;0;17;5;0;1;0;0;0
2019-11-17 14:45:00;0;13;4;3;0;0;0;0
2019-11-17 15:00:00;1;13;8;3;1;0;0;0
2019-11-17 15:15:00;1;9;8;2;1;0;0;0
2019-11-17 15:30:00;1;16;13;8;0;0;0;0
2019-11-17 15:45:00;0;8;1;1;2;0;0;0
2019-11-17 16:00:00;2;13;7;2;0;0;0;0
2019-11-17 16:15:00;0;10;5;4;0;0;0;0
2019-11-17 16:30:00;0;6;7;1;1;0;0;0
2019-11-17 16:45:00;0;7;4;2;0;0;0;0
2019-11-17 17:00:00;0;8;4;2;1;0;0;0
2019-11-17 17:15:00;0;12;4;3;0;0;0;0
2019-11-17 17:30:00;0;8;5;1;0;0;0;0
2019-11-17 17:45:00;0;7;6;3;1;0;0;0
2019-11-17 18:00:00;0;7;3;0;2;0;0;0
2019-11-17 18:15:00;0;5;4;1;0;0;0;0
2019-11-17 18:30:00;0;5;3;0;1;0;0;0
2019-11-17 18:45:00;0;4;2;1;0;0;0;0
2019-11-17 19:00:00;0;2;2;0;1;0;0;0
2019-11-17 19:15:00;0;8;4;2;0;0;0;0
2019-11-17 19:30:00;0;2;1;0;1;0;0;0
2019-11-17 19:45:00;0;6;2;0;0;0;0;0
2019-11-17 20:00:00;0;2;3;2;0;0;0;0
2019-11-17 20:15:00;0;2;3;0;0;0;0;0
2019-11-17 20:30:00;0;1;1;0;0;0;0;0
2019-11-17 20:45:00;0;2;0;0;0;0;0;0
2019-11-17 21:00:00;0;1;2;0;0;0;0;0
2019-11-17 21:15:00;0;3;7;4;0;0;0;0
2019-11-17 21:30:00;0;3;6;2;0;0;0;0
2019-11-17 21:45:00;0;4;0;0;0;0;0;0
2019-11-17 22:00:00;0;4;0;0;1;0;0;0
2019-11-17 22:15:00;0;5;2;2;0;0;0;0
2019-11-17 22:30:00;1;2;1;0;0;0;0;0
2019-11-17 22:45:00;0;1;1;0;0;0;0;0
2019-11-17 23:00:00;0;0;1;0;0;0;0;0
2019-11-17 23:15:00;0;0;1;1;0;0;0;0
2019-11-17 23:30:00;0;7;1;0;0;0;0;0
2019-11-17 23:45:00;1;2;3;1;0;0;0;0
