DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-07-05 00:00:00;6;1;5;1;0;0
2020-07-05 00:15:00;13;0;10;0;0;0
2020-07-05 00:30:00;14;0;7;0;0;0
2020-07-05 00:45:00;14;1;7;1;0;0
2020-07-05 01:00:00;16;0;15;0;0;0
2020-07-05 01:15:00;4;0;7;0;0;0
2020-07-05 01:30:00;9;0;6;0;0;0
2020-07-05 01:45:00;6;0;6;0;0;0
2020-07-05 02:00:00;9;0;9;0;0;0
2020-07-05 02:15:00;2;2;7;0;0;0
2020-07-05 02:30:00;3;0;7;0;0;0
2020-07-05 02:45:00;8;0;4;0;0;0
2020-07-05 03:00:00;5;0;3;0;0;0
2020-07-05 03:15:00;1;0;4;0;0;0
2020-07-05 03:30:00;0;0;4;0;0;0
2020-07-05 03:45:00;0;0;3;0;0;0
2020-07-05 04:00:00;1;0;0;0;0;0
2020-07-05 04:15:00;4;0;2;0;0;0
2020-07-05 04:30:00;0;0;6;0;0;0
2020-07-05 04:45:00;3;0;2;0;0;0
2020-07-05 05:00:00;3;1;6;0;0;0
2020-07-05 05:15:00;4;0;2;0;0;0
2020-07-05 05:30:00;4;0;3;0;0;0
2020-07-05 05:45:00;1;0;6;1;0;0
2020-07-05 06:00:00;5;0;2;1;0;0
2020-07-05 06:15:00;2;0;2;0;0;0
2020-07-05 06:30:00;1;0;2;1;0;0
2020-07-05 06:45:00;3;1;6;0;0;0
2020-07-05 07:00:00;5;0;4;0;0;0
2020-07-05 07:15:00;6;0;5;0;0;0
2020-07-05 07:30:00;2;0;7;0;0;0
2020-07-05 07:45:00;2;0;8;0;0;0
2020-07-05 08:00:00;8;0;5;0;0;0
2020-07-05 08:15:00;6;0;11;0;0;0
2020-07-05 08:30:00;9;0;6;0;0;0
2020-07-05 08:45:00;7;0;11;0;0;0
2020-07-05 09:00:00;5;0;12;0;0;0
2020-07-05 09:15:00;13;0;21;0;0;0
2020-07-05 09:30:00;14;0;24;0;0;0
2020-07-05 09:45:00;19;0;17;0;0;0
2020-07-05 10:00:00;21;0;15;0;0;0
2020-07-05 10:15:00;19;0;24;0;0;0
2020-07-05 10:30:00;28;0;21;0;0;0
2020-07-05 10:45:00;34;0;31;0;0;0
2020-07-05 11:00:00;33;1;29;1;0;0
2020-07-05 11:15:00;33;1;17;1;0;0
2020-07-05 11:30:00;22;0;38;1;0;0
2020-07-05 11:45:00;32;0;20;0;0;0
2020-07-05 12:00:00;25;0;27;0;0;0
2020-07-05 12:15:00;30;0;40;1;0;0
2020-07-05 12:30:00;24;0;14;0;0;0
2020-07-05 12:45:00;23;2;23;1;0;0
2020-07-05 13:00:00;19;0;28;1;0;0
2020-07-05 13:15:00;34;2;41;1;1;0
2020-07-05 13:30:00;30;0;31;0;0;0
2020-07-05 13:45:00;29;1;29;0;0;0
2020-07-05 14:00:00;31;0;23;4;0;0
2020-07-05 14:15:00;29;1;24;0;0;0
2020-07-05 14:30:00;31;0;28;0;0;0
2020-07-05 14:45:00;27;0;27;0;0;0
2020-07-05 15:00:00;29;1;35;1;0;0
2020-07-05 15:15:00;25;0;31;0;0;0
2020-07-05 15:30:00;30;0;25;0;0;0
2020-07-05 15:45:00;41;0;27;0;0;0
2020-07-05 16:00:00;24;0;32;3;0;0
2020-07-05 16:15:00;19;0;29;2;0;0
2020-07-05 16:30:00;14;0;26;0;0;0
2020-07-05 16:45:00;20;1;34;0;0;0
2020-07-05 17:00:00;30;1;39;1;0;0
2020-07-05 17:15:00;17;0;21;0;0;0
2020-07-05 17:30:00;24;1;27;0;0;0
2020-07-05 17:45:00;26;2;29;2;0;0
2020-07-05 18:00:00;22;0;25;1;0;0
2020-07-05 18:15:00;34;0;42;0;0;0
2020-07-05 18:30:00;22;1;36;0;0;0
2020-07-05 18:45:00;22;0;36;0;0;0
2020-07-05 19:00:00;25;0;35;1;0;0
2020-07-05 19:15:00;27;2;35;3;0;0
2020-07-05 19:30:00;22;0;28;1;0;0
2020-07-05 19:45:00;19;1;37;0;0;0
2020-07-05 20:00:00;21;0;26;1;0;0
2020-07-05 20:15:00;19;0;23;0;0;0
2020-07-05 20:30:00;31;0;22;1;0;0
2020-07-05 20:45:00;21;0;25;0;0;0
2020-07-05 21:00:00;18;1;27;0;0;0
2020-07-05 21:15:00;16;1;25;1;0;0
2020-07-05 21:30:00;29;0;20;0;0;0
2020-07-05 21:45:00;12;0;22;7;0;0
2020-07-05 22:00:00;25;2;9;2;0;0
2020-07-05 22:15:00;9;0;12;0;0;0
2020-07-05 22:30:00;10;0;12;0;0;0
2020-07-05 22:45:00;9;0;6;0;0;0
2020-07-05 23:00:00;8;0;4;1;0;0
2020-07-05 23:15:00;13;0;6;1;0;0
2020-07-05 23:30:00;8;0;5;0;0;0
2020-07-05 23:45:00;5;0;7;0;0;0
