DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DC4);11(DD1);12(DD2);13(DD3);14(DE1);15(DE2);16(DE3);17(DF1);18(DF2);19(DG1);20(DG2);21(DG3);22(DG4);23(DH1);24(DH2);25(TAFBA);26(TAFGB);27(TAFGB2);28(TAFBB);29(TAFBB2);30(TAFBC);31(TAFGD);32(TAFGD2);33(TAFBD);34(TAFBD2);35(TAFGE)
2019-08-20 00:00:00;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 00:15:00;7;7;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 00:45:00;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 01:00:00;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 01:15:00;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 01:30:00;2;2;1;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 02:15:00;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 02:45:00;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 03:00:00;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 03:15:00;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 03:30:00;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 03:45:00;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 04:45:00;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 05:00:00;1;1;2;0;2;2;0;1;0;1;0;0;2;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 05:15:00;0;0;0;3;0;0;1;0;1;0;1;2;4;0;3;3;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 05:30:00;1;1;3;2;0;0;0;0;0;0;0;2;5;2;3;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 05:45:00;1;1;0;4;1;1;0;0;0;0;2;5;10;0;4;4;4;9;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 06:00:00;0;0;6;2;0;0;0;0;0;0;0;1;6;5;2;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 06:15:00;6;5;1;4;0;0;0;0;0;0;3;9;4;1;4;4;8;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 06:30:00;3;3;5;4;1;1;0;1;0;1;0;8;17;8;5;4;6;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 06:45:00;3;3;6;3;1;1;0;0;0;0;4;21;23;2;4;4;20;23;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 07:00:00;2;3;9;2;1;1;0;0;0;0;0;11;20;8;2;2;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 07:15:00;8;8;6;4;4;4;0;0;0;0;3;10;17;13;4;5;11;14;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 07:30:00;3;3;9;9;3;3;0;0;0;0;3;15;16;12;9;8;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-20 07:45:00;3;4;5;4;6;6;3;0;3;0;1;16;19;6;4;4;14;18;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
