DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2019-12-09 00:00:00;0;1;0;0;0;0
2019-12-09 00:15:00;5;2;0;0;0;0
2019-12-09 00:30:00;1;1;0;0;0;0
2019-12-09 00:45:00;0;0;0;0;0;0
2019-12-09 01:00:00;1;0;0;0;0;0
2019-12-09 01:15:00;0;0;0;0;0;0
2019-12-09 01:30:00;1;0;0;0;0;0
2019-12-09 01:45:00;0;1;0;0;0;0
2019-12-09 02:00:00;1;0;0;0;0;0
2019-12-09 02:15:00;1;0;0;0;0;0
2019-12-09 02:30:00;0;0;0;0;0;0
2019-12-09 02:45:00;0;0;0;0;0;0
2019-12-09 03:00:00;0;1;0;0;0;0
2019-12-09 03:15:00;1;0;0;0;0;0
2019-12-09 03:30:00;0;0;0;0;0;0
2019-12-09 03:45:00;0;0;0;0;0;0
2019-12-09 04:00:00;3;1;0;0;0;0
2019-12-09 04:15:00;1;4;0;0;0;0
2019-12-09 04:30:00;1;0;0;0;0;0
2019-12-09 04:45:00;0;0;0;0;0;0
2019-12-09 05:00:00;0;2;0;0;0;0
2019-12-09 05:15:00;4;2;0;0;0;0
2019-12-09 05:30:00;4;3;0;0;0;0
2019-12-09 05:45:00;12;6;0;0;0;0
2019-12-09 06:00:00;13;8;0;0;0;0
2019-12-09 06:15:00;2;4;0;0;0;0
2019-12-09 06:30:00;11;7;0;1;0;0
2019-12-09 06:45:00;20;10;0;0;0;0
2019-12-09 07:00:00;14;4;0;0;0;0
2019-12-09 07:15:00;18;11;1;4;0;0
2019-12-09 07:30:00;34;15;7;3;0;0
2019-12-09 07:45:00;39;13;0;0;0;0
2019-12-09 08:00:00;22;8;3;2;0;0
2019-12-09 08:15:00;19;17;0;0;0;0
2019-12-09 08:30:00;10;9;0;2;0;0
2019-12-09 08:45:00;10;11;0;0;0;0
2019-12-09 09:00:00;7;9;0;0;0;0
2019-12-09 09:15:00;7;4;0;0;0;0
2019-12-09 09:30:00;12;8;0;1;0;0
2019-12-09 09:45:00;13;5;1;2;0;0
2019-12-09 10:00:00;5;5;0;0;0;0
2019-12-09 10:15:00;18;5;0;1;0;0
2019-12-09 10:30:00;13;11;1;1;0;0
2019-12-09 10:45:00;14;10;1;1;0;0
2019-12-09 11:00:00;9;10;0;0;0;0
2019-12-09 11:15:00;11;8;0;0;0;0
2019-12-09 11:30:00;9;7;1;0;0;0
2019-12-09 11:45:00;12;4;2;0;0;0
2019-12-09 12:00:00;13;12;0;1;0;0
2019-12-09 12:15:00;5;13;3;0;0;0
2019-12-09 12:30:00;16;12;0;0;0;0
2019-12-09 12:45:00;14;9;0;2;0;0
2019-12-09 13:00:00;9;12;2;0;0;0
2019-12-09 13:15:00;15;11;0;1;0;0
2019-12-09 13:30:00;6;17;0;0;0;0
2019-12-09 13:45:00;15;9;2;0;0;0
2019-12-09 14:00:00;15;11;0;0;0;0
2019-12-09 14:15:00;14;10;0;1;0;0
2019-12-09 14:30:00;8;13;0;0;0;0
2019-12-09 14:45:00;11;12;0;0;0;0
2019-12-09 15:00:00;11;15;5;1;0;0
2019-12-09 15:15:00;14;17;3;0;0;0
2019-12-09 15:30:00;13;18;1;0;0;0
2019-12-09 15:45:00;20;11;1;0;0;0
2019-12-09 16:00:00;20;25;2;1;0;0
2019-12-09 16:15:00;19;25;0;1;0;0
2019-12-09 16:30:00;15;31;1;2;0;0
2019-12-09 16:45:00;21;30;0;1;0;0
2019-12-09 17:00:00;12;25;2;0;0;0
2019-12-09 17:15:00;18;18;0;0;0;0
2019-12-09 17:30:00;17;10;1;0;0;0
2019-12-09 17:45:00;15;10;0;1;0;0
2019-12-09 18:00:00;17;12;0;0;0;0
2019-12-09 18:15:00;9;7;0;0;0;0
2019-12-09 18:30:00;8;12;0;0;0;0
2019-12-09 18:45:00;8;8;2;0;0;0
2019-12-09 19:00:00;8;4;1;0;0;0
2019-12-09 19:15:00;10;8;0;0;0;0
2019-12-09 19:30:00;10;3;0;0;0;0
2019-12-09 19:45:00;3;1;0;0;0;0
2019-12-09 20:00:00;2;4;0;0;0;0
2019-12-09 20:15:00;6;3;0;0;0;0
2019-12-09 20:30:00;5;1;0;0;0;0
2019-12-09 20:45:00;2;1;0;0;0;0
2019-12-09 21:00:00;3;3;0;0;0;0
2019-12-09 21:15:00;3;0;0;0;0;0
2019-12-09 21:30:00;6;7;0;0;0;0
2019-12-09 21:45:00;3;3;0;0;0;0
2019-12-09 22:00:00;5;0;1;1;0;0
2019-12-09 22:15:00;2;1;0;0;0;0
2019-12-09 22:30:00;3;0;0;0;0;0
2019-12-09 22:45:00;1;0;0;0;0;0
2019-12-09 23:00:00;5;0;0;0;0;0
2019-12-09 23:15:00;0;2;0;0;0;0
2019-12-09 23:30:00;0;0;0;0;0;0
2019-12-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
