DATUM;1(TAFGA);2(TAFBA)
2019-11-08 00:00:00;0;0
2019-11-08 00:15:00;0;0
2019-11-08 00:30:00;0;0
2019-11-08 00:45:00;0;0
2019-11-08 01:00:00;0;0
2019-11-08 01:15:00;0;0
2019-11-08 01:30:00;0;0
2019-11-08 01:45:00;0;0
2019-11-08 02:00:00;0;0
2019-11-08 02:15:00;0;0
2019-11-08 02:30:00;0;0
2019-11-08 02:45:00;0;0
2019-11-08 03:00:00;0;0
2019-11-08 03:15:00;0;0
2019-11-08 03:30:00;0;0
2019-11-08 03:45:00;0;0
2019-11-08 04:00:00;0;0
2019-11-08 04:15:00;0;0
2019-11-08 04:30:00;0;0
2019-11-08 04:45:00;0;0
2019-11-08 05:00:00;0;0
2019-11-08 05:15:00;0;0
2019-11-08 05:30:00;1;0
2019-11-08 05:45:00;4;0
2019-11-08 06:00:00;5;2
2019-11-08 06:15:00;5;3
2019-11-08 06:30:00;8;3
2019-11-08 06:45:00;9;1
2019-11-08 07:00:00;10;1
2019-11-08 07:15:00;8;2
2019-11-08 07:30:00;17;4
2019-11-08 07:45:00;17;5
2019-11-08 08:00:00;11;3
2019-11-08 08:15:00;14;1
2019-11-08 08:30:00;9;0
2019-11-08 08:45:00;17;3
2019-11-08 09:00:00;12;3
2019-11-08 09:15:00;14;4
2019-11-08 09:30:00;16;4
2019-11-08 09:45:00;14;0
2019-11-08 10:00:00;14;0
2019-11-08 10:15:00;21;3
2019-11-08 10:30:00;24;0
2019-11-08 10:45:00;14;3
2019-11-08 11:00:00;18;2
2019-11-08 11:15:00;19;1
2019-11-08 11:30:00;18;4
2019-11-08 11:45:00;23;12
2019-11-08 12:00:00;14;2
2019-11-08 12:15:00;21;0
2019-11-08 12:30:00;18;3
2019-11-08 12:45:00;13;3
2019-11-08 13:00:00;18;3
2019-11-08 13:15:00;17;3
2019-11-08 13:30:00;17;0
2019-11-08 13:45:00;13;5
2019-11-08 14:00:00;18;8
2019-11-08 14:15:00;11;5
2019-11-08 14:30:00;13;2
2019-11-08 14:45:00;24;3
2019-11-08 15:00:00;18;4
2019-11-08 15:15:00;15;0
2019-11-08 15:30:00;12;12
2019-11-08 15:45:00;19;16
2019-11-08 16:00:00;18;2
2019-11-08 16:15:00;13;4
2019-11-08 16:30:00;21;4
2019-11-08 16:45:00;21;3
2019-11-08 17:00:00;16;2
2019-11-08 17:15:00;14;2
2019-11-08 17:30:00;16;7
2019-11-08 17:45:00;16;8
2019-11-08 18:00:00;12;1
2019-11-08 18:15:00;14;2
2019-11-08 18:30:00;17;4
2019-11-08 18:45:00;12;1
2019-11-08 19:00:00;15;1
2019-11-08 19:15:00;12;6
2019-11-08 19:30:00;13;9
2019-11-08 19:45:00;5;1
2019-11-08 20:00:00;12;2
2019-11-08 20:15:00;10;0
2019-11-08 20:30:00;2;1
2019-11-08 20:45:00;7;6
2019-11-08 21:00:00;5;1
2019-11-08 21:15:00;2;0
2019-11-08 21:30:00;3;0
2019-11-08 21:45:00;6;2
2019-11-08 22:00:00;9;4
2019-11-08 22:15:00;4;6
2019-11-08 22:30:00;3;4
2019-11-08 22:45:00;1;1
2019-11-08 23:00:00;0;0
2019-11-08 23:15:00;0;0
2019-11-08 23:30:00;0;0
2019-11-08 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
