DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2019-12-31 00:00:00;2;0;0;0;0;0;0;0;0;0;3
2019-12-31 00:15:00;8;1;0;0;0;0;0;0;0;0;6
2019-12-31 00:30:00;3;0;0;0;1;0;1;0;0;0;4
2019-12-31 00:45:00;2;0;0;0;0;0;0;0;0;0;6
2019-12-31 01:00:00;2;0;0;0;0;0;0;0;0;0;5
2019-12-31 01:15:00;2;1;0;0;0;0;0;0;0;0;2
2019-12-31 01:30:00;1;0;0;0;0;0;0;0;0;0;3
2019-12-31 01:45:00;3;0;0;0;0;0;0;0;0;0;6
2019-12-31 02:00:00;2;0;0;0;0;0;0;0;0;0;4
2019-12-31 02:15:00;2;0;0;0;0;0;0;0;0;0;5
2019-12-31 02:30:00;1;0;0;0;0;0;0;0;0;0;1
2019-12-31 02:45:00;2;1;0;0;0;0;0;0;0;0;1
2019-12-31 03:00:00;3;1;0;0;0;0;0;0;0;0;4
2019-12-31 03:15:00;2;0;0;0;1;0;1;0;0;1;2
2019-12-31 03:30:00;1;0;0;0;0;0;0;0;0;0;1
2019-12-31 03:45:00;0;0;0;0;0;0;0;0;0;0;0
2019-12-31 04:00:00;3;2;0;0;0;0;0;0;0;0;1
2019-12-31 04:15:00;3;0;1;1;0;1;0;0;0;0;4
2019-12-31 04:30:00;2;1;0;0;0;0;0;0;0;0;2
2019-12-31 04:45:00;2;0;0;0;0;0;0;0;0;0;2
2019-12-31 05:00:00;2;1;0;0;0;0;0;0;0;0;2
2019-12-31 05:15:00;3;0;0;0;0;0;0;0;0;0;5
2019-12-31 05:30:00;4;0;0;0;0;0;0;0;0;2;5
2019-12-31 05:45:00;10;0;0;0;1;0;1;0;0;0;2
2019-12-31 06:00:00;1;0;0;0;0;0;0;0;1;0;1
2019-12-31 06:15:00;5;0;0;0;2;0;2;0;0;1;3
2019-12-31 06:30:00;5;1;0;0;0;0;0;0;0;2;6
