DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-01-04 00:00:00;0;1;0;0;0;0;0;0
2020-01-04 00:15:00;0;3;1;1;0;0;0;0
2020-01-04 00:30:00;0;0;0;0;0;0;0;0
2020-01-04 00:45:00;0;2;0;0;0;0;0;0
2020-01-04 01:00:00;0;2;1;0;0;0;0;0
2020-01-04 01:15:00;0;0;0;0;0;0;0;0
2020-01-04 01:30:00;0;5;2;0;0;0;0;0
2020-01-04 01:45:00;0;1;0;0;0;0;0;0
2020-01-04 02:00:00;0;3;0;0;0;0;0;0
2020-01-04 02:15:00;1;1;0;0;0;0;0;0
2020-01-04 02:30:00;0;1;0;0;1;0;0;0
2020-01-04 02:45:00;0;0;0;0;0;0;0;0
2020-01-04 03:00:00;0;1;0;0;0;0;0;0
2020-01-04 03:15:00;0;0;0;0;0;0;0;0
2020-01-04 03:30:00;0;1;0;0;0;0;0;0
2020-01-04 03:45:00;0;1;1;0;0;0;0;0
2020-01-04 04:00:00;0;1;0;0;0;0;0;0
2020-01-04 04:15:00;0;0;1;0;0;0;0;0
2020-01-04 04:30:00;0;0;0;0;0;0;0;0
2020-01-04 04:45:00;0;0;0;0;0;0;0;0
2020-01-04 05:00:00;0;1;1;1;0;0;0;0
2020-01-04 05:15:00;0;2;1;0;0;0;0;0
2020-01-04 05:30:00;0;1;2;2;0;0;0;0
2020-01-04 05:45:00;0;0;0;0;1;0;0;0
2020-01-04 06:00:00;0;1;0;0;0;0;0;0
2020-01-04 06:15:00;0;1;1;1;0;0;0;0
2020-01-04 06:30:00;0;1;5;2;2;0;0;0
2020-01-04 06:45:00;0;2;7;1;0;0;0;0
2020-01-04 07:00:00;0;1;5;1;1;0;0;0
2020-01-04 07:15:00;0;0;0;0;0;0;0;0
2020-01-04 07:30:00;0;2;2;0;0;0;0;0
2020-01-04 07:45:00;0;0;7;3;1;0;0;0
2020-01-04 08:00:00;1;2;3;0;0;0;0;0
2020-01-04 08:15:00;0;2;4;0;0;0;0;0
2020-01-04 08:30:00;1;4;3;0;1;0;0;0
2020-01-04 08:45:00;2;2;3;0;0;0;0;0
2020-01-04 09:00:00;0;1;3;1;0;0;0;0
2020-01-04 09:15:00;0;8;6;0;0;0;0;0
2020-01-04 09:30:00;2;3;0;1;1;0;0;0
2020-01-04 09:45:00;0;9;3;0;0;0;0;0
2020-01-04 10:00:00;0;4;6;2;0;0;0;0
2020-01-04 10:15:00;0;7;5;0;1;0;0;0
2020-01-04 10:30:00;1;6;2;1;2;0;0;0
2020-01-04 10:45:00;0;7;8;1;3;0;0;0
2020-01-04 11:00:00;2;5;1;0;2;0;0;0
2020-01-04 11:15:00;0;9;3;0;0;0;0;0
2020-01-04 11:30:00;0;14;4;0;4;0;0;0
2020-01-04 11:45:00;0;8;2;2;0;0;0;0
2020-01-04 12:00:00;0;9;8;0;1;0;0;0
2020-01-04 12:15:00;0;7;3;1;4;0;0;0
2020-01-04 12:30:00;2;7;7;1;2;0;0;0
2020-01-04 12:45:00;1;13;7;0;1;0;0;0
2020-01-04 13:00:00;0;3;9;0;0;0;0;0
2020-01-04 13:15:00;0;6;8;0;2;0;0;0
2020-01-04 13:30:00;0;1;7;0;2;0;0;0
2020-01-04 13:45:00;2;7;4;1;0;0;0;0
2020-01-04 14:00:00;1;9;4;1;1;0;0;0
2020-01-04 14:15:00;1;8;4;0;1;0;0;0
2020-01-04 14:30:00;0;5;5;0;0;0;0;0
2020-01-04 14:45:00;0;14;8;0;0;0;0;0
2020-01-04 15:00:00;0;8;11;1;1;0;0;0
2020-01-04 15:15:00;0;7;6;1;0;0;0;0
2020-01-04 15:30:00;0;6;3;1;1;0;0;0
2020-01-04 15:45:00;0;7;4;0;0;0;0;0
2020-01-04 16:00:00;0;10;5;1;0;0;0;0
2020-01-04 16:15:00;0;2;2;0;2;0;0;0
2020-01-04 16:30:00;0;7;3;0;1;0;0;0
2020-01-04 16:45:00;0;7;2;1;0;0;0;0
2020-01-04 17:00:00;1;6;5;1;0;0;0;0
2020-01-04 17:15:00;0;3;4;0;1;0;0;0
2020-01-04 17:30:00;1;10;4;0;1;0;0;0
2020-01-04 17:45:00;0;9;5;1;2;0;0;0
2020-01-04 18:00:00;0;4;8;1;0;0;0;0
2020-01-04 18:15:00;0;7;6;0;0;0;0;0
2020-01-04 18:30:00;1;9;7;2;2;0;0;0
2020-01-04 18:45:00;0;3;2;1;0;0;0;0
2020-01-04 19:00:00;0;6;2;0;0;0;0;0
2020-01-04 19:15:00;0;13;7;2;0;0;0;0
2020-01-04 19:30:00;1;4;5;2;0;0;0;0
2020-01-04 19:45:00;0;4;7;1;0;0;0;0
2020-01-04 20:00:00;0;6;2;1;2;0;0;0
2020-01-04 20:15:00;0;3;1;0;0;0;0;0
2020-01-04 20:30:00;0;5;0;0;1;0;0;0
2020-01-04 20:45:00;0;3;2;3;0;0;0;0
2020-01-04 21:00:00;0;3;2;0;1;0;0;0
2020-01-04 21:15:00;0;1;2;1;1;0;0;0
2020-01-04 21:30:00;0;5;4;1;0;0;0;0
2020-01-04 21:45:00;0;1;4;1;0;0;0;0
2020-01-04 22:00:00;0;4;2;1;0;0;0;0
2020-01-04 22:15:00;0;3;1;0;0;0;0;0
2020-01-04 22:30:00;1;8;2;2;0;0;0;0
2020-01-04 22:45:00;0;2;1;1;0;0;0;0
2020-01-04 23:00:00;0;4;6;2;0;0;0;0
2020-01-04 23:15:00;0;3;3;1;0;0;0;0
2020-01-04 23:30:00;0;5;2;1;0;0;0;0
2020-01-04 23:45:00;0;2;1;1;1;0;0;0
