DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-04-26 00:00:00;3;0;0;0;0;0
2020-04-26 00:15:00;3;0;4;0;0;0
2020-04-26 00:30:00;3;0;0;0;0;0
2020-04-26 00:45:00;1;0;4;0;0;0
2020-04-26 01:00:00;2;2;0;1;0;0
2020-04-26 01:15:00;8;0;2;0;0;0
2020-04-26 01:30:00;2;1;2;1;0;0
2020-04-26 01:45:00;2;1;0;0;0;0
2020-04-26 02:00:00;2;0;1;1;0;0
2020-04-26 02:15:00;2;0;0;0;0;0
2020-04-26 02:30:00;2;0;1;0;0;0
2020-04-26 02:45:00;0;0;1;0;0;0
2020-04-26 03:00:00;0;0;5;0;0;0
2020-04-26 03:15:00;0;0;1;0;0;0
2020-04-26 03:30:00;2;0;0;0;0;0
2020-04-26 03:45:00;1;0;1;0;0;0
2020-04-26 04:00:00;1;0;1;0;0;0
2020-04-26 04:15:00;2;0;0;0;0;0
2020-04-26 04:30:00;1;0;0;0;0;0
2020-04-26 04:45:00;1;0;1;0;0;0
2020-04-26 05:00:00;0;1;6;0;0;0
2020-04-26 05:15:00;2;0;2;0;0;0
2020-04-26 05:30:00;0;0;3;0;0;0
2020-04-26 05:45:00;6;0;4;0;0;0
2020-04-26 06:00:00;8;0;3;3;0;0
2020-04-26 06:15:00;6;0;0;0;0;0
2020-04-26 06:30:00;0;0;2;0;0;0
2020-04-26 06:45:00;3;0;4;0;0;0
2020-04-26 07:00:00;2;0;7;0;0;0
2020-04-26 07:15:00;1;0;2;0;0;0
2020-04-26 07:30:00;2;1;2;0;0;0
2020-04-26 07:45:00;4;0;2;0;0;0
2020-04-26 08:00:00;2;0;2;0;0;0
2020-04-26 08:15:00;4;0;2;0;0;0
2020-04-26 08:30:00;3;0;1;0;0;0
2020-04-26 08:45:00;4;0;3;0;0;0
2020-04-26 09:00:00;6;0;2;0;0;0
2020-04-26 09:15:00;0;0;8;0;0;0
2020-04-26 09:30:00;10;0;7;0;0;0
2020-04-26 09:45:00;6;0;10;0;0;0
2020-04-26 10:00:00;18;0;7;0;0;0
2020-04-26 10:15:00;14;0;11;0;0;0
2020-04-26 10:30:00;19;0;16;0;0;0
2020-04-26 10:45:00;13;0;18;0;0;0
2020-04-26 11:00:00;19;0;8;2;0;0
2020-04-26 11:15:00;18;0;9;1;0;0
2020-04-26 11:30:00;13;0;8;0;0;0
2020-04-26 11:45:00;25;0;16;0;0;0
2020-04-26 12:00:00;20;0;25;1;0;0
2020-04-26 12:15:00;18;0;16;0;0;0
2020-04-26 12:30:00;27;1;9;1;0;0
2020-04-26 12:45:00;14;0;15;0;0;0
2020-04-26 13:00:00;22;2;16;1;0;0
2020-04-26 13:15:00;16;1;23;0;0;0
2020-04-26 13:30:00;18;1;15;0;0;0
2020-04-26 13:45:00;15;0;12;5;0;0
2020-04-26 14:00:00;28;0;19;1;0;0
2020-04-26 14:15:00;29;1;11;0;0;0
2020-04-26 14:30:00;29;0;30;0;0;0
2020-04-26 14:45:00;23;0;19;0;0;0
2020-04-26 15:00:00;16;0;22;0;0;0
2020-04-26 15:15:00;13;0;13;1;0;0
2020-04-26 15:30:00;16;0;20;0;0;0
2020-04-26 15:45:00;18;0;23;1;0;0
2020-04-26 16:00:00;24;4;29;0;0;0
2020-04-26 16:15:00;28;1;23;0;0;0
2020-04-26 16:30:00;17;0;24;0;0;0
2020-04-26 16:45:00;22;1;22;0;0;0
2020-04-26 17:00:00;16;0;32;1;0;0
2020-04-26 17:15:00;14;0;24;1;0;0
2020-04-26 17:30:00;17;1;31;0;0;0
2020-04-26 17:45:00;21;0;18;0;0;0
2020-04-26 18:00:00;23;1;25;0;0;0
2020-04-26 18:15:00;24;0;27;0;0;0
2020-04-26 18:30:00;19;0;26;2;0;0
2020-04-26 18:45:00;18;0;20;0;0;0
2020-04-26 19:00:00;20;0;23;0;0;0
2020-04-26 19:15:00;22;2;15;0;0;0
2020-04-26 19:30:00;16;0;13;0;0;0
2020-04-26 19:45:00;13;0;23;0;0;0
2020-04-26 20:00:00;13;0;23;0;0;0
2020-04-26 20:15:00;13;0;22;1;0;0
2020-04-26 20:30:00;11;2;16;1;0;0
2020-04-26 20:45:00;12;0;14;0;0;0
2020-04-26 21:00:00;7;2;17;0;0;0
2020-04-26 21:15:00;6;2;9;0;0;0
2020-04-26 21:30:00;7;2;5;0;0;0
2020-04-26 21:45:00;9;0;8;2;0;0
2020-04-26 22:00:00;9;0;4;0;0;0
2020-04-26 22:15:00;4;0;4;1;0;0
2020-04-26 22:30:00;3;0;6;0;0;0
2020-04-26 22:45:00;2;1;0;3;0;0
2020-04-26 23:00:00;2;0;5;1;0;0
2020-04-26 23:15:00;5;0;2;0;0;0
2020-04-26 23:30:00;2;0;0;0;0;0
2020-04-26 23:45:00;2;0;4;0;0;0
