DATUM;1(TAFGA);2(TAFBA)
2019-10-02 00:00:00;0;0
2019-10-02 00:15:00;0;0
2019-10-02 00:30:00;0;0
2019-10-02 00:45:00;0;0
2019-10-02 01:00:00;0;0
2019-10-02 01:15:00;2;0
2019-10-02 01:30:00;0;0
2019-10-02 01:45:00;0;0
2019-10-02 02:00:00;0;0
2019-10-02 02:15:00;0;0
2019-10-02 02:30:00;0;0
2019-10-02 02:45:00;0;0
2019-10-02 03:00:00;0;0
2019-10-02 03:15:00;0;0
2019-10-02 03:30:00;0;0
2019-10-02 03:45:00;0;0
2019-10-02 04:00:00;0;0
2019-10-02 04:15:00;0;0
2019-10-02 04:30:00;0;0
2019-10-02 04:45:00;0;0
2019-10-02 05:00:00;0;0
2019-10-02 05:15:00;1;0
2019-10-02 05:30:00;6;2
2019-10-02 05:45:00;2;0
2019-10-02 06:00:00;4;3
2019-10-02 06:15:00;2;2
2019-10-02 06:30:00;7;0
2019-10-02 06:45:00;13;1
2019-10-02 07:00:00;10;8
2019-10-02 07:15:00;11;4
2019-10-02 07:30:00;17;31
2019-10-02 07:45:00;17;6
2019-10-02 08:00:00;12;4
2019-10-02 08:15:00;11;1
2019-10-02 08:30:00;12;4
2019-10-02 08:45:00;19;5
2019-10-02 09:00:00;18;0
2019-10-02 09:15:00;12;0
2019-10-02 09:30:00;14;3
2019-10-02 09:45:00;15;1
2019-10-02 10:00:00;13;3
2019-10-02 10:15:00;14;6
2019-10-02 10:30:00;21;7
2019-10-02 10:45:00;14;7
2019-10-02 11:00:00;16;8
2019-10-02 11:15:00;14;0
2019-10-02 11:30:00;15;0
2019-10-02 11:45:00;19;27
2019-10-02 12:00:00;28;9
2019-10-02 12:15:00;21;2
2019-10-02 12:30:00;14;9
2019-10-02 12:45:00;19;1
2019-10-02 13:00:00;18;7
2019-10-02 13:15:00;22;9
2019-10-02 13:30:00;17;6
2019-10-02 13:45:00;16;13
2019-10-02 14:00:00;20;22
2019-10-02 14:15:00;17;1
2019-10-02 14:30:00;21;7
2019-10-02 14:45:00;16;17
2019-10-02 15:00:00;19;3
2019-10-02 15:15:00;22;10
2019-10-02 15:30:00;13;4
2019-10-02 15:45:00;14;0
2019-10-02 16:00:00;18;17
2019-10-02 16:15:00;20;6
2019-10-02 16:30:00;19;8
2019-10-02 16:45:00;24;15
2019-10-02 17:00:00;21;7
2019-10-02 17:15:00;25;6
2019-10-02 17:30:00;20;5
2019-10-02 17:45:00;18;8
2019-10-02 18:00:00;19;1
2019-10-02 18:15:00;17;2
2019-10-02 18:30:00;14;14
2019-10-02 18:45:00;19;5
2019-10-02 19:00:00;14;2
2019-10-02 19:15:00;21;4
2019-10-02 19:30:00;15;5
2019-10-02 19:45:00;16;2
2019-10-02 20:00:00;13;4
2019-10-02 20:15:00;11;0
2019-10-02 20:30:00;7;6
2019-10-02 20:45:00;3;1
2019-10-02 21:00:00;6;6
2019-10-02 21:15:00;6;4
2019-10-02 21:30:00;4;3
2019-10-02 21:45:00;8;3
2019-10-02 22:00:00;11;2
2019-10-02 22:15:00;0;0
2019-10-02 22:30:00;6;4
2019-10-02 22:45:00;3;2
2019-10-02 23:00:00;4;0
2019-10-02 23:15:00;0;0
2019-10-02 23:30:00;2;0
2019-10-02 23:45:00;0;0
