DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2019-08-16 00:00:00;0;4;2;4;0;0;0;0
2019-08-16 00:15:00;0;5;2;1;0;0;0;0
2019-08-16 00:30:00;0;2;2;0;0;0;0;0
2019-08-16 00:45:00;1;2;0;0;0;0;0;0
2019-08-16 01:00:00;0;0;0;0;0;0;0;0
2019-08-16 01:15:00;0;0;0;0;0;0;0;0
2019-08-16 01:30:00;0;0;0;0;0;0;0;0
2019-08-16 01:45:00;0;1;0;1;0;0;0;0
2019-08-16 02:00:00;0;1;1;1;0;0;0;0
2019-08-16 02:15:00;0;0;0;0;0;0;0;0
2019-08-16 02:30:00;1;0;0;0;0;0;0;0
2019-08-16 02:45:00;0;0;0;0;0;0;0;0
2019-08-16 03:00:00;0;3;0;0;0;0;0;0
2019-08-16 03:15:00;0;0;0;0;0;0;0;0
2019-08-16 03:30:00;0;0;1;0;0;0;0;0
2019-08-16 03:45:00;0;4;2;1;0;0;0;0
2019-08-16 04:00:00;0;0;2;0;0;0;0;0
2019-08-16 04:15:00;0;1;0;0;0;0;0;0
2019-08-16 04:30:00;0;0;0;0;0;0;0;0
2019-08-16 04:45:00;0;0;1;0;0;0;0;0
2019-08-16 05:00:00;0;1;1;1;0;0;0;0
2019-08-16 05:15:00;0;2;3;0;1;0;0;0
2019-08-16 05:30:00;0;1;6;3;0;0;0;0
2019-08-16 05:45:00;0;4;1;0;0;0;0;0
2019-08-16 06:00:00;1;2;0;0;4;0;0;0
2019-08-16 06:15:00;1;2;11;1;0;0;0;0
2019-08-16 06:30:00;0;5;13;1;1;0;0;0
2019-08-16 06:45:00;1;4;10;4;2;0;0;0
2019-08-16 07:00:00;0;2;9;1;1;0;0;0
2019-08-16 07:15:00;0;5;10;1;3;0;0;0
2019-08-16 07:30:00;1;8;13;1;6;0;0;0
2019-08-16 07:45:00;3;7;7;1;1;0;0;0
2019-08-16 08:00:00;0;5;8;1;3;0;0;0
2019-08-16 08:15:00;3;10;12;1;0;0;0;0
2019-08-16 08:30:00;2;6;9;1;2;0;0;0
2019-08-16 08:45:00;1;9;10;0;1;0;0;0
2019-08-16 09:00:00;1;8;4;0;1;0;0;0
2019-08-16 09:15:00;2;12;5;1;2;0;0;0
2019-08-16 09:30:00;1;10;14;1;1;0;0;0
2019-08-16 09:45:00;2;18;14;0;3;0;0;0
2019-08-16 10:00:00;2;7;11;2;1;0;0;0
2019-08-16 10:15:00;2;12;11;4;5;0;0;0
2019-08-16 10:30:00;0;9;19;1;2;0;0;0
2019-08-16 10:45:00;0;11;5;0;2;0;0;0
2019-08-16 11:00:00;2;16;14;3;1;0;0;0
2019-08-16 11:15:00;0;10;13;0;1;0;0;0
2019-08-16 11:30:00;3;12;15;2;6;0;0;0
2019-08-16 11:45:00;0;25;12;1;4;0;0;0
2019-08-16 12:00:00;1;20;12;3;5;0;0;0
2019-08-16 12:15:00;4;14;12;1;9;0;0;0
2019-08-16 12:30:00;3;20;14;7;4;0;0;0
2019-08-16 12:45:00;2;15;9;4;5;0;0;0
2019-08-16 13:00:00;1;11;31;6;4;0;0;0
2019-08-16 13:15:00;1;11;30;4;5;0;0;0
2019-08-16 13:30:00;0;10;6;0;2;0;0;0
2019-08-16 13:45:00;3;54;8;1;2;0;0;0
2019-08-16 14:00:00;3;26;8;0;3;0;0;0
2019-08-16 14:15:00;1;23;11;2;7;0;0;0
2019-08-16 14:30:00;0;14;8;1;4;0;0;0
2019-08-16 14:45:00;1;16;9;1;4;0;0;0
2019-08-16 15:00:00;1;12;3;0;4;0;0;1
2019-08-16 15:15:00;0;11;7;3;4;0;0;0
2019-08-16 15:30:00;1;11;8;0;1;0;0;0
2019-08-16 15:45:00;1;9;3;2;2;0;0;0
2019-08-16 16:00:00;2;17;9;3;1;0;0;0
2019-08-16 16:15:00;0;14;10;2;1;0;0;0
2019-08-16 16:30:00;1;6;5;1;0;0;0;0
2019-08-16 16:45:00;0;7;6;0;3;0;0;0
2019-08-16 17:00:00;0;8;4;1;0;0;0;0
2019-08-16 17:15:00;0;11;7;1;0;0;0;0
2019-08-16 17:30:00;0;6;7;1;1;0;0;0
2019-08-16 17:45:00;254;8;8;1;0;0;0;0
2019-08-16 18:00:00;0;4;9;4;1;0;0;0
2019-08-16 18:15:00;0;8;5;1;2;0;0;0
2019-08-16 18:30:00;0;3;4;0;0;0;0;0
2019-08-16 18:45:00;2;9;4;1;0;0;0;0
2019-08-16 19:00:00;1;8;1;0;0;0;0;0
2019-08-16 19:15:00;0;5;2;1;0;0;0;0
2019-08-16 19:30:00;0;3;5;0;0;0;0;0
2019-08-16 19:45:00;0;6;2;1;1;0;0;0
2019-08-16 20:00:00;0;5;3;0;0;0;0;0
2019-08-16 20:15:00;0;6;0;0;1;0;0;0
2019-08-16 20:30:00;0;5;3;0;0;0;0;0
2019-08-16 20:45:00;1;1;2;0;2;0;8;0
2019-08-16 21:00:00;1;7;2;0;2;0;0;0
2019-08-16 21:15:00;2;4;5;1;0;0;0;0
2019-08-16 21:30:00;0;2;5;0;0;0;0;0
2019-08-16 21:45:00;0;7;4;1;0;0;0;0
2019-08-16 22:00:00;0;3;3;0;4;0;0;0
2019-08-16 22:15:00;0;2;4;2;1;0;0;0
2019-08-16 22:30:00;0;5;2;0;0;0;0;0
2019-08-16 22:45:00;0;0;1;0;0;0;0;0
2019-08-16 23:00:00;0;3;2;0;0;0;0;0
2019-08-16 23:15:00;0;2;0;0;0;0;0;0
2019-08-16 23:30:00;1;1;1;0;0;0;0;0
2019-08-16 23:45:00;0;0;0;0;0;0;0;0
