DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2020-09-10 00:00:00;2;4;0;0;0;4;0;2;6;7;1;2;2;1;4;0;0;0;0;0;0
2020-09-10 00:15:00;4;10;3;2;3;1;1;0;3;4;2;2;1;3;1;0;0;0;0;0;0
2020-09-10 00:30:00;5;5;3;2;1;3;2;0;7;7;0;1;2;2;1;0;0;0;0;0;0
2020-09-10 00:45:00;6;7;2;0;1;5;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0
2020-09-10 01:00:00;5;9;2;0;0;3;0;0;2;2;1;0;1;0;1;0;0;0;0;0;0
2020-09-10 01:15:00;3;6;0;1;0;1;0;1;7;4;1;1;0;3;0;0;0;0;0;0;0
2020-09-10 01:30:00;6;6;1;0;0;1;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0
2020-09-10 01:45:00;1;2;1;0;0;0;0;0;6;1;0;2;1;5;0;0;0;0;0;0;0
2020-09-10 02:00:00;0;1;0;0;0;2;0;0;4;7;1;0;0;2;0;0;0;0;0;0;0
2020-09-10 02:15:00;2;5;0;0;0;0;0;0;4;1;0;0;2;2;0;0;0;0;0;0;0
2020-09-10 02:30:00;1;3;0;1;0;0;0;0;1;2;3;0;3;2;1;0;0;0;0;0;0
2020-09-10 02:45:00;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
2020-09-10 03:00:00;5;2;0;0;0;0;0;1;3;2;1;1;0;1;2;0;0;0;0;0;0
2020-09-10 03:15:00;5;6;1;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0
2020-09-10 03:30:00;4;2;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
