DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2019-10-18 00:00:00;0;0;0;0;0;0
2019-10-18 00:15:00;1;2;0;0;0;0
2019-10-18 00:30:00;1;0;0;0;0;0
2019-10-18 00:45:00;0;1;0;0;0;0
2019-10-18 01:00:00;0;0;0;0;0;0
2019-10-18 01:15:00;1;0;0;0;0;0
2019-10-18 01:30:00;0;1;0;0;0;0
2019-10-18 01:45:00;0;0;0;0;0;0
2019-10-18 02:00:00;2;0;0;0;0;0
2019-10-18 02:15:00;0;0;0;0;0;0
2019-10-18 02:30:00;0;1;0;0;0;0
2019-10-18 02:45:00;0;0;0;0;0;0
2019-10-18 03:00:00;1;1;0;0;0;0
2019-10-18 03:15:00;0;0;0;0;0;0
2019-10-18 03:30:00;1;1;0;0;0;0
2019-10-18 03:45:00;0;0;0;0;0;0
2019-10-18 04:00:00;0;1;0;0;0;0
2019-10-18 04:15:00;0;0;0;0;0;0
2019-10-18 04:30:00;0;0;0;0;0;0
2019-10-18 04:45:00;0;0;0;0;0;0
2019-10-18 05:00:00;1;2;0;0;0;0
2019-10-18 05:15:00;1;3;0;0;0;0
2019-10-18 05:30:00;4;4;0;0;0;0
2019-10-18 05:45:00;9;1;0;0;0;0
2019-10-18 06:00:00;5;5;0;0;0;0
2019-10-18 06:15:00;12;4;0;0;0;0
2019-10-18 06:30:00;9;8;0;0;0;0
2019-10-18 06:45:00;9;4;0;0;0;0
2019-10-18 07:00:00;11;1;0;8;0;0
2019-10-18 07:15:00;9;5;13;3;0;0
2019-10-18 07:30:00;15;8;16;1;0;0
2019-10-18 07:45:00;11;12;0;3;0;0
2019-10-18 08:00:00;5;7;2;0;0;0
2019-10-18 08:15:00;7;6;0;0;0;0
2019-10-18 08:30:00;10;6;2;0;0;0
2019-10-18 08:45:00;8;9;0;2;0;0
2019-10-18 09:00:00;5;7;0;0;0;0
2019-10-18 09:15:00;9;5;0;1;0;0
2019-10-18 09:30:00;12;5;0;5;0;0
2019-10-18 09:45:00;9;7;0;0;0;0
2019-10-18 10:00:00;6;7;2;1;0;0
2019-10-18 10:15:00;12;8;0;0;0;0
2019-10-18 10:30:00;13;16;0;5;0;0
2019-10-18 10:45:00;5;15;4;0;0;0
2019-10-18 11:00:00;15;14;2;1;0;0
2019-10-18 11:15:00;7;7;3;0;0;0
2019-10-18 11:30:00;16;15;2;1;0;0
2019-10-18 11:45:00;8;12;0;0;0;0
2019-10-18 12:00:00;15;32;2;0;0;0
2019-10-18 12:15:00;6;23;0;3;0;0
2019-10-18 12:30:00;9;12;0;0;0;0
2019-10-18 12:45:00;8;10;1;0;0;0
2019-10-18 13:00:00;16;14;0;0;0;0
2019-10-18 13:15:00;7;6;0;3;0;0
2019-10-18 13:30:00;7;7;0;2;0;0
2019-10-18 13:45:00;10;8;0;0;0;0
2019-10-18 14:00:00;9;6;0;0;0;0
2019-10-18 14:15:00;12;12;1;0;0;0
2019-10-18 14:30:00;16;9;2;0;0;0
2019-10-18 14:45:00;9;9;1;0;0;0
2019-10-18 15:00:00;8;17;2;3;0;0
2019-10-18 15:15:00;14;13;2;0;0;0
2019-10-18 15:30:00;14;17;5;1;0;0
2019-10-18 15:45:00;17;11;3;2;0;0
2019-10-18 16:00:00;14;8;1;8;0;0
2019-10-18 16:15:00;17;16;5;0;0;0
2019-10-18 16:30:00;11;13;2;1;0;0
2019-10-18 16:45:00;11;9;1;1;0;0
2019-10-18 17:00:00;11;15;2;1;0;0
2019-10-18 17:15:00;13;18;3;4;0;0
2019-10-18 17:30:00;15;12;1;0;0;0
2019-10-18 17:45:00;18;12;3;4;0;0
2019-10-18 18:00:00;13;13;5;3;0;0
2019-10-18 18:15:00;13;9;0;0;0;0
2019-10-18 18:30:00;20;11;0;0;0;0
2019-10-18 18:45:00;13;8;0;0;0;0
2019-10-18 19:00:00;9;5;2;0;0;0
2019-10-18 19:15:00;5;10;0;1;0;0
2019-10-18 19:30:00;4;8;0;0;0;0
2019-10-18 19:45:00;6;4;1;0;0;0
2019-10-18 20:00:00;8;3;0;0;0;0
2019-10-18 20:15:00;4;6;0;0;0;0
2019-10-18 20:30:00;3;8;0;0;0;0
2019-10-18 20:45:00;3;6;0;0;0;0
2019-10-18 21:00:00;6;3;3;0;0;0
2019-10-18 21:15:00;2;6;0;0;0;0
2019-10-18 21:30:00;5;3;0;0;0;0
2019-10-18 21:45:00;5;2;0;0;0;0
2019-10-18 22:00:00;5;2;0;0;0;0
2019-10-18 22:15:00;6;3;0;0;0;0
2019-10-18 22:30:00;3;0;0;0;0;0
2019-10-18 22:45:00;5;4;0;0;0;0
2019-10-18 23:00:00;6;3;0;0;0;0
2019-10-18 23:15:00;5;2;0;0;0;0
2019-10-18 23:30:00;1;0;0;0;0;0
2019-10-18 23:45:00;2;1;0;0;0;0
