DATUM;1(DA1);2(TAFBA)
2020-10-01 00:00:00;1;0
2020-10-01 00:15:00;0;0
2020-10-01 00:30:00;1;0
2020-10-01 00:45:00;1;0
2020-10-01 01:00:00;1;0
2020-10-01 01:15:00;0;0
2020-10-01 01:30:00;0;0
2020-10-01 01:45:00;0;0
2020-10-01 02:00:00;0;0
2020-10-01 02:15:00;0;0
2020-10-01 02:30:00;2;0
2020-10-01 02:45:00;0;0
2020-10-01 03:00:00;1;0
2020-10-01 03:15:00;0;0
2020-10-01 03:30:00;3;0
2020-10-01 03:45:00;0;0
2020-10-01 04:00:00;1;0
2020-10-01 04:15:00;1;0
2020-10-01 04:30:00;0;0
2020-10-01 04:45:00;2;0
2020-10-01 05:00:00;2;0
2020-10-01 05:15:00;2;0
2020-10-01 05:30:00;8;0
2020-10-01 05:45:00;13;0
2020-10-01 06:00:00;13;0
2020-10-01 06:15:00;19;0
2020-10-01 06:30:00;17;0
2020-10-01 06:45:00;24;0
2020-10-01 07:00:00;25;0
2020-10-01 07:15:00;60;0
2020-10-01 07:30:00;20;0
2020-10-01 07:45:00;83;0
2020-10-01 08:00:00;69;0
2020-10-01 08:15:00;50;0
2020-10-01 08:30:00;51;0
2020-10-01 08:45:00;44;0
2020-10-01 09:00:00;49;0
2020-10-01 09:15:00;45;0
2020-10-01 09:30:00;43;0
2020-10-01 09:45:00;49;0
2020-10-01 10:00:00;42;0
2020-10-01 10:15:00;52;0
2020-10-01 10:30:00;30;0
2020-10-01 10:45:00;53;0
2020-10-01 11:00:00;29;0
2020-10-01 11:15:00;41;0
2020-10-01 11:30:00;37;0
2020-10-01 11:45:00;43;0
2020-10-01 12:00:00;30;0
2020-10-01 12:15:00;35;0
2020-10-01 12:30:00;33;0
2020-10-01 12:45:00;35;0
2020-10-01 13:00:00;58;0
2020-10-01 13:15:00;43;0
2020-10-01 13:30:00;46;0
2020-10-01 13:45:00;50;0
2020-10-01 14:00:00;39;0
2020-10-01 14:15:00;49;0
2020-10-01 14:30:00;41;0
2020-10-01 14:45:00;46;0
2020-10-01 15:00:00;42;0
2020-10-01 15:15:00;41;0
2020-10-01 15:30:00;44;0
2020-10-01 15:45:00;50;0
2020-10-01 16:00:00;53;0
2020-10-01 16:15:00;59;0
2020-10-01 16:30:00;47;0
2020-10-01 16:45:00;54;0
2020-10-01 17:00:00;71;0
2020-10-01 17:15:00;50;0
2020-10-01 17:30:00;55;0
2020-10-01 17:45:00;51;0
2020-10-01 18:00:00;41;0
2020-10-01 18:15:00;52;0
2020-10-01 18:30:00;32;0
2020-10-01 18:45:00;28;0
2020-10-01 19:00:00;16;0
2020-10-01 19:15:00;21;0
2020-10-01 19:30:00;29;0
2020-10-01 19:45:00;27;0
2020-10-01 20:00:00;24;0
2020-10-01 20:15:00;11;0
2020-10-01 20:30:00;15;0
2020-10-01 20:45:00;16;0
2020-10-01 21:00:00;8;0
2020-10-01 21:15:00;11;0
2020-10-01 21:30:00;3;0
2020-10-01 21:45:00;9;0
2020-10-01 22:00:00;4;0
2020-10-01 22:15:00;7;0
2020-10-01 22:30:00;5;0
2020-10-01 22:45:00;10;0
2020-10-01 23:00:00;6;0
2020-10-01 23:15:00;4;0
2020-10-01 23:30:00;1;0
2020-10-01 23:45:00;4;0
