DATUM;1(TAFGA);2(TAFBA)
2019-10-31 00:00:00;0;0
2019-10-31 00:15:00;0;0
2019-10-31 00:30:00;0;0
2019-10-31 00:45:00;0;0
2019-10-31 01:00:00;0;0
2019-10-31 01:15:00;0;0
2019-10-31 01:30:00;0;0
2019-10-31 01:45:00;0;0
2019-10-31 02:00:00;0;0
2019-10-31 02:15:00;0;0
2019-10-31 02:30:00;0;0
2019-10-31 02:45:00;0;0
2019-10-31 03:00:00;0;0
2019-10-31 03:15:00;0;0
2019-10-31 03:30:00;0;0
2019-10-31 03:45:00;0;0
2019-10-31 04:00:00;0;0
2019-10-31 04:15:00;0;0
2019-10-31 04:30:00;0;0
2019-10-31 04:45:00;0;0
2019-10-31 05:00:00;0;0
2019-10-31 05:15:00;0;0
2019-10-31 05:30:00;0;0
2019-10-31 05:45:00;0;0
2019-10-31 06:00:00;0;0
2019-10-31 06:15:00;2;0
2019-10-31 06:30:00;2;0
2019-10-31 06:45:00;3;0
2019-10-31 07:00:00;0;0
2019-10-31 07:15:00;0;0
2019-10-31 07:30:00;0;0
2019-10-31 07:45:00;4;0
2019-10-31 08:00:00;24;7
2019-10-31 08:15:00;17;2
2019-10-31 08:30:00;14;0
2019-10-31 08:45:00;2;0
2019-10-31 09:00:00;0;0
2019-10-31 09:15:00;8;3
2019-10-31 09:30:00;7;0
2019-10-31 09:45:00;2;0
2019-10-31 10:00:00;36;1
2019-10-31 10:15:00;0;0
2019-10-31 10:30:00;4;0
2019-10-31 10:45:00;11;0
2019-10-31 11:00:00;20;4
2019-10-31 11:15:00;14;4
2019-10-31 11:30:00;7;3
2019-10-31 11:45:00;18;20
2019-10-31 12:00:00;49;0
2019-10-31 12:15:00;32;0
2019-10-31 12:30:00;58;9
2019-10-31 12:45:00;27;0
2019-10-31 13:00:00;28;7
2019-10-31 13:15:00;26;0
2019-10-31 13:30:00;23;0
2019-10-31 13:45:00;26;0
2019-10-31 14:00:00;38;0
2019-10-31 14:15:00;28;0
2019-10-31 14:30:00;156;69
2019-10-31 14:45:00;29;13
2019-10-31 15:00:00;6;0
2019-10-31 15:15:00;44;3
2019-10-31 15:30:00;6;0
2019-10-31 15:45:00;46;0
2019-10-31 16:00:00;48;0
2019-10-31 16:15:00;5;2
2019-10-31 16:30:00;25;7
2019-10-31 16:45:00;61;6
2019-10-31 17:00:00;31;0
2019-10-31 17:15:00;28;0
2019-10-31 17:30:00;10;5
2019-10-31 17:45:00;3;0
2019-10-31 18:00:00;10;0
2019-10-31 18:15:00;0;4
2019-10-31 18:30:00;3;2
2019-10-31 18:45:00;10;15
2019-10-31 19:00:00;29;1
2019-10-31 19:15:00;0;0
2019-10-31 19:30:00;4;0
2019-10-31 19:45:00;2;0
2019-10-31 20:00:00;7;0
2019-10-31 20:15:00;0;0
2019-10-31 20:30:00;0;0
2019-10-31 20:45:00;0;0
2019-10-31 21:00:00;0;0
2019-10-31 21:15:00;0;0
2019-10-31 21:30:00;0;0
2019-10-31 21:45:00;0;0
2019-10-31 22:00:00;0;0
2019-10-31 22:15:00;0;0
2019-10-31 22:30:00;0;0
2019-10-31 22:45:00;0;0
2019-10-31 23:00:00;0;0
2019-10-31 23:15:00;0;0
2019-10-31 23:30:00;0;0
2019-10-31 23:45:00;0;0
