2020-09-02 00:00:00;1;0
2020-09-02 00:15:00;4;0
2020-09-02 00:30:00;2;0
2020-09-02 00:45:00;0;0
2020-09-02 01:00:00;0;0
2020-09-02 01:15:00;1;0
2020-09-02 01:30:00;2;0
2020-09-02 01:45:00;0;0
2020-09-02 02:00:00;2;0
2020-09-02 02:15:00;1;0
2020-09-02 02:30:00;0;0
2020-09-02 02:45:00;0;0
2020-09-02 03:00:00;0;0
2020-09-02 03:15:00;0;0
2020-09-02 03:30:00;0;0
2020-09-02 03:45:00;0;0
2020-09-02 04:00:00;0;0
2020-09-02 04:15:00;0;0
2020-09-02 04:30:00;4;0
2020-09-02 04:45:00;0;0
2020-09-02 05:00:00;4;0
2020-09-02 05:15:00;2;0
2020-09-02 05:30:00;7;0
2020-09-02 05:45:00;19;0
2020-09-02 06:00:00;11;0
2020-09-02 06:15:00;17;0
2020-09-02 06:30:00;29;0
2020-09-02 06:45:00;31;0
2020-09-02 07:00:00;19;0
2020-09-02 07:15:00;32;0
2020-09-02 07:30:00;46;0
2020-09-02 07:45:00;61;0
2020-09-02 08:00:00;64;0
2020-09-02 08:15:00;41;0
2020-09-02 08:30:00;52;0
2020-09-02 08:45:00;47;0
2020-09-02 09:00:00;42;0
2020-09-02 09:15:00;46;0
2020-09-02 09:30:00;53;0
2020-09-02 09:45:00;55;0
2020-09-02 10:00:00;38;0
2020-09-02 10:15:00;49;0
2020-09-02 10:30:00;44;0
2020-09-02 10:45:00;41;0
2020-09-02 11:00:00;45;0
2020-09-02 11:15:00;56;0
2020-09-02 11:30:00;39;0
2020-09-02 11:45:00;43;0
2020-09-02 12:00:00;39;0
2020-09-02 12:15:00;47;0
2020-09-02 12:30:00;35;0
2020-09-02 12:45:00;34;0
2020-09-02 13:00:00;31;0
2020-09-02 13:15:00;41;0
2020-09-02 13:30:00;47;0
2020-09-02 13:45:00;31;0
2020-09-02 14:00:00;42;0
2020-09-02 14:15:00;40;0
2020-09-02 14:30:00;38;0
2020-09-02 14:45:00;26;0
2020-09-02 15:00:00;32;0
2020-09-02 15:15:00;31;0
2020-09-02 15:30:00;50;0
2020-09-02 15:45:00;29;0
2020-09-02 16:00:00;33;0
2020-09-02 16:15:00;46;0
2020-09-02 16:30:00;41;0
2020-09-02 16:45:00;48;0
2020-09-02 17:00:00;40;0
2020-09-02 17:15:00;38;0
2020-09-02 17:30:00;37;0
2020-09-02 17:45:00;33;0
2020-09-02 18:00:00;35;0
2020-09-02 18:15:00;26;0
2020-09-02 18:30:00;36;0
2020-09-02 18:45:00;28;0
2020-09-02 19:00:00;20;0
2020-09-02 19:15:00;26;0
2020-09-02 19:30:00;13;0
2020-09-02 19:45:00;23;0
2020-09-02 20:00:00;17;0
2020-09-02 20:15:00;21;0
2020-09-02 20:30:00;15;0
2020-09-02 20:45:00;14;0
2020-09-02 21:00:00;17;0
2020-09-02 21:15:00;9;0
2020-09-02 21:30:00;12;0
2020-09-02 21:45:00;14;0
2020-09-02 22:00:00;13;0
2020-09-02 22:15:00;7;0
2020-09-02 22:30:00;6;0
2020-09-02 22:45:00;7;0
2020-09-02 23:00:00;3;0
2020-09-02 23:15:00;18;0
2020-09-02 23:30:00;1;0
2020-09-02 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
