DATUM;1(TAFGA);2(TAFBA)
2020-07-25 00:00:00;0;0
2020-07-25 00:15:00;0;1
2020-07-25 00:30:00;0;0
2020-07-25 00:45:00;0;0
2020-07-25 01:00:00;0;0
2020-07-25 01:15:00;0;0
2020-07-25 01:30:00;0;0
2020-07-25 01:45:00;0;0
2020-07-25 02:00:00;0;0
2020-07-25 02:15:00;0;0
2020-07-25 02:30:00;0;0
2020-07-25 02:45:00;0;0
2020-07-25 03:00:00;0;0
2020-07-25 03:15:00;0;0
2020-07-25 03:30:00;0;0
2020-07-25 03:45:00;0;0
2020-07-25 04:00:00;0;0
2020-07-25 04:15:00;0;0
2020-07-25 04:30:00;0;0
2020-07-25 04:45:00;0;0
2020-07-25 05:00:00;0;0
2020-07-25 05:15:00;0;0
2020-07-25 05:30:00;0;0
2020-07-25 05:45:00;0;0
2020-07-25 06:00:00;0;0
2020-07-25 06:15:00;0;0
2020-07-25 06:30:00;0;0
2020-07-25 06:45:00;0;0
2020-07-25 07:00:00;0;0
2020-07-25 07:15:00;3;0
2020-07-25 07:30:00;4;0
2020-07-25 07:45:00;6;1
2020-07-25 08:00:00;6;0
2020-07-25 08:15:00;9;9
2020-07-25 08:30:00;4;0
2020-07-25 08:45:00;14;0
2020-07-25 09:00:00;11;1
2020-07-25 09:15:00;15;4
2020-07-25 09:30:00;19;2
2020-07-25 09:45:00;22;4
2020-07-25 10:00:00;18;3
2020-07-25 10:15:00;13;4
2020-07-25 10:30:00;20;8
2020-07-25 10:45:00;17;6
2020-07-25 11:00:00;19;4
2020-07-25 11:15:00;14;8
2020-07-25 11:30:00;21;4
2020-07-25 11:45:00;17;9
2020-07-25 12:00:00;20;4
2020-07-25 12:15:00;20;11
2020-07-25 12:30:00;18;7
2020-07-25 12:45:00;21;0
2020-07-25 13:00:00;18;1
2020-07-25 13:15:00;17;5
2020-07-25 13:30:00;14;2
2020-07-25 13:45:00;17;11
2020-07-25 14:00:00;18;10
2020-07-25 14:15:00;17;0
2020-07-25 14:30:00;14;6
2020-07-25 14:45:00;21;2
2020-07-25 15:00:00;24;8
2020-07-25 15:15:00;15;4
2020-07-25 15:30:00;18;5
2020-07-25 15:45:00;19;17
2020-07-25 16:00:00;17;19
2020-07-25 16:15:00;17;6
2020-07-25 16:30:00;17;2
2020-07-25 16:45:00;17;9
2020-07-25 17:00:00;18;13
2020-07-25 17:15:00;22;8
2020-07-25 17:30:00;16;8
2020-07-25 17:45:00;20;8
2020-07-25 18:00:00;19;4
2020-07-25 18:15:00;20;5
2020-07-25 18:30:00;23;9
2020-07-25 18:45:00;20;6
2020-07-25 19:00:00;19;12
2020-07-25 19:15:00;25;18
2020-07-25 19:30:00;20;6
2020-07-25 19:45:00;16;13
2020-07-25 20:00:00;15;3
2020-07-25 20:15:00;17;8
2020-07-25 20:30:00;7;5
2020-07-25 20:45:00;21;13
2020-07-25 21:00:00;6;2
2020-07-25 21:15:00;3;2
2020-07-25 21:30:00;7;5
2020-07-25 21:45:00;6;3
2020-07-25 22:00:00;6;3
2020-07-25 22:15:00;4;6
2020-07-25 22:30:00;4;16
2020-07-25 22:45:00;6;1
2020-07-25 23:00:00;1;0
2020-07-25 23:15:00;0;0
2020-07-25 23:30:00;0;0
2020-07-25 23:45:00;0;0
