2020-03-04 00:00:00;0;0
2020-03-04 00:15:00;0;0
2020-03-04 00:30:00;0;0
2020-03-04 00:45:00;0;0
2020-03-04 01:00:00;0;0
2020-03-04 01:15:00;0;0
2020-03-04 01:30:00;0;0
2020-03-04 01:45:00;0;0
2020-03-04 02:00:00;0;0
2020-03-04 02:15:00;0;0
2020-03-04 02:30:00;0;0
2020-03-04 02:45:00;0;0
2020-03-04 03:00:00;0;0
2020-03-04 03:15:00;0;0
2020-03-04 03:30:00;0;0
2020-03-04 03:45:00;0;0
2020-03-04 04:00:00;0;0
2020-03-04 04:15:00;0;0
2020-03-04 04:30:00;0;0
2020-03-04 04:45:00;0;0
2020-03-04 05:00:00;0;0
2020-03-04 05:15:00;0;0
2020-03-04 05:30:00;0;0
2020-03-04 05:45:00;0;0
2020-03-04 06:00:00;2;0
2020-03-04 06:15:00;0;0
2020-03-04 06:30:00;2;0
2020-03-04 06:45:00;14;0
2020-03-04 07:00:00;11;0
2020-03-04 07:15:00;20;1
2020-03-04 07:30:00;25;1
2020-03-04 07:45:00;20;1
2020-03-04 08:00:00;42;0
2020-03-04 08:15:00;8;0
2020-03-04 08:30:00;1;0
2020-03-04 08:45:00;2;0
2020-03-04 09:00:00;3;0
2020-03-04 09:15:00;3;0
2020-03-04 09:30:00;18;0
2020-03-04 09:45:00;2;0
2020-03-04 10:00:00;1;0
2020-03-04 10:15:00;74;0
2020-03-04 10:30:00;5;0
2020-03-04 10:45:00;34;0
2020-03-04 11:00:00;1;0
2020-03-04 11:15:00;5;0
2020-03-04 11:30:00;30;0
2020-03-04 11:45:00;12;0
2020-03-04 12:00:00;27;0
2020-03-04 12:15:00;50;0
2020-03-04 12:30:00;22;0
2020-03-04 12:45:00;9;0
2020-03-04 13:00:00;16;4
2020-03-04 13:15:00;48;1
2020-03-04 13:30:00;24;1
2020-03-04 13:45:00;23;0
2020-03-04 14:00:00;30;4
2020-03-04 14:15:00;26;0
2020-03-04 14:30:00;8;2
2020-03-04 14:45:00;94;5
2020-03-04 15:00:00;45;0
2020-03-04 15:15:00;33;0
2020-03-04 15:30:00;39;1
2020-03-04 15:45:00;16;2
2020-03-04 16:00:00;44;3
2020-03-04 16:15:00;18;0
2020-03-04 16:30:00;70;2
2020-03-04 16:45:00;106;11
2020-03-04 17:00:00;6;0
2020-03-04 17:15:00;25;0
2020-03-04 17:30:00;9;0
2020-03-04 17:45:00;17;0
2020-03-04 18:00:00;0;0
2020-03-04 18:15:00;84;5
2020-03-04 18:30:00;173;29
2020-03-04 18:45:00;0;0
2020-03-04 19:00:00;1;0
2020-03-04 19:15:00;7;7
2020-03-04 19:30:00;6;4
2020-03-04 19:45:00;0;0
2020-03-04 20:00:00;0;0
2020-03-04 20:15:00;1;0
2020-03-04 20:30:00;0;0
2020-03-04 20:45:00;0;0
2020-03-04 21:00:00;0;0
2020-03-04 21:15:00;0;0
2020-03-04 21:30:00;0;0
2020-03-04 21:45:00;0;0
2020-03-04 22:00:00;0;0
2020-03-04 22:15:00;0;0
2020-03-04 22:30:00;0;0
2020-03-04 22:45:00;0;0
2020-03-04 23:00:00;0;0
2020-03-04 23:15:00;0;0
2020-03-04 23:30:00;0;0
2020-03-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
