DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2020-04-10 00:00:00;2;0;0;0;0;0
2020-04-10 00:15:00;0;1;0;0;0;0
2020-04-10 00:30:00;0;0;0;0;0;0
2020-04-10 00:45:00;0;0;0;0;0;0
2020-04-10 01:00:00;0;0;0;0;0;0
2020-04-10 01:15:00;0;0;0;0;0;0
2020-04-10 01:30:00;0;0;0;0;0;0
2020-04-10 01:45:00;0;1;0;0;0;0
2020-04-10 02:00:00;0;0;0;0;0;0
2020-04-10 02:15:00;0;0;0;0;0;0
2020-04-10 02:30:00;0;0;0;0;0;0
2020-04-10 02:45:00;0;0;0;0;0;0
2020-04-10 03:00:00;0;0;0;0;0;0
2020-04-10 03:15:00;0;0;0;0;0;0
2020-04-10 03:30:00;0;0;0;0;0;0
2020-04-10 03:45:00;0;1;0;0;0;0
2020-04-10 04:00:00;0;1;0;0;0;0
2020-04-10 04:15:00;0;0;0;0;0;0
2020-04-10 04:30:00;0;0;0;0;0;0
2020-04-10 04:45:00;0;0;0;0;0;0
2020-04-10 05:00:00;0;0;0;0;0;0
2020-04-10 05:15:00;1;0;0;0;0;0
2020-04-10 05:30:00;4;1;0;0;0;0
2020-04-10 05:45:00;3;5;0;0;0;0
2020-04-10 06:00:00;1;2;0;0;0;0
2020-04-10 06:15:00;1;0;0;0;0;0
2020-04-10 06:30:00;0;1;0;0;0;0
2020-04-10 06:45:00;0;0;0;0;0;0
2020-04-10 07:00:00;0;0;0;0;0;0
2020-04-10 07:15:00;3;2;0;0;0;0
2020-04-10 07:30:00;1;0;0;0;0;0
2020-04-10 07:45:00;1;0;0;0;0;0
2020-04-10 08:00:00;2;0;0;0;0;0
2020-04-10 08:15:00;0;0;0;1;0;0
2020-04-10 08:30:00;0;0;0;0;0;0
2020-04-10 08:45:00;2;3;0;0;0;0
2020-04-10 09:00:00;2;2;0;1;0;0
2020-04-10 09:15:00;0;1;0;2;0;0
2020-04-10 09:30:00;2;1;0;0;0;0
2020-04-10 09:45:00;1;5;0;0;0;0
2020-04-10 10:00:00;1;2;1;0;0;0
2020-04-10 10:15:00;5;7;0;3;0;0
2020-04-10 10:30:00;1;7;0;0;0;0
2020-04-10 10:45:00;5;3;2;2;0;0
2020-04-10 11:00:00;6;8;0;5;0;0
2020-04-10 11:15:00;5;13;1;1;0;0
2020-04-10 11:30:00;5;12;1;0;0;0
2020-04-10 11:45:00;1;4;0;2;0;0
2020-04-10 12:00:00;3;4;0;0;0;0
2020-04-10 12:15:00;4;4;1;0;0;0
2020-04-10 12:30:00;4;5;0;0;0;0
2020-04-10 12:45:00;5;3;0;3;0;0
2020-04-10 13:00:00;3;4;1;2;0;0
2020-04-10 13:15:00;4;5;1;0;0;0
2020-04-10 13:30:00;6;3;0;5;0;0
2020-04-10 13:45:00;7;8;1;1;0;0
2020-04-10 14:00:00;3;5;4;5;0;0
2020-04-10 14:15:00;2;4;1;1;0;0
2020-04-10 14:30:00;3;5;2;2;0;0
2020-04-10 14:45:00;1;6;6;2;0;0
2020-04-10 15:00:00;2;8;5;0;0;0
2020-04-10 15:15:00;3;12;1;7;0;0
2020-04-10 15:30:00;7;6;4;2;0;0
2020-04-10 15:45:00;4;5;2;2;0;0
2020-04-10 16:00:00;6;7;1;1;0;0
2020-04-10 16:15:00;3;4;0;5;0;0
2020-04-10 16:30:00;5;6;6;3;0;0
2020-04-10 16:45:00;6;7;2;4;0;0
2020-04-10 17:00:00;4;3;6;5;0;0
2020-04-10 17:15:00;5;10;3;0;0;0
2020-04-10 17:30:00;6;8;5;0;0;0
2020-04-10 17:45:00;3;8;1;1;0;0
2020-04-10 18:00:00;6;9;4;3;0;0
2020-04-10 18:15:00;4;6;5;3;0;0
2020-04-10 18:30:00;5;4;5;0;0;0
2020-04-10 18:45:00;1;5;2;0;0;0
2020-04-10 19:00:00;7;3;0;1;0;0
2020-04-10 19:15:00;5;3;2;2;0;0
2020-04-10 19:30:00;6;7;2;2;0;0
2020-04-10 19:45:00;2;3;4;2;0;0
2020-04-10 20:00:00;2;5;0;4;0;0
2020-04-10 20:15:00;1;7;0;2;0;0
2020-04-10 20:30:00;0;3;0;0;0;0
2020-04-10 20:45:00;2;1;0;0;0;0
2020-04-10 21:00:00;7;6;0;0;0;0
2020-04-10 21:15:00;1;1;0;0;0;0
2020-04-10 21:30:00;1;3;0;0;0;0
2020-04-10 21:45:00;0;2;0;0;0;0
2020-04-10 22:00:00;3;0;0;0;0;0
2020-04-10 22:15:00;0;0;0;0;0;0
2020-04-10 22:30:00;1;0;0;0;0;0
2020-04-10 22:45:00;0;0;0;0;0;0
2020-04-10 23:00:00;0;0;0;0;0;0
2020-04-10 23:15:00;0;0;0;0;0;0
2020-04-10 23:30:00;0;0;0;0;0;0
2020-04-10 23:45:00;1;0;0;0;0;0
