DATUM;1(TAFGA);2(TAFBA)
2019-12-30 00:00:00;0;0
2019-12-30 00:15:00;0;0
2019-12-30 00:30:00;0;0
2019-12-30 00:45:00;0;0
2019-12-30 01:00:00;0;0
2019-12-30 01:15:00;0;0
2019-12-30 01:30:00;0;0
2019-12-30 01:45:00;0;0
2019-12-30 02:00:00;0;0
2019-12-30 02:15:00;0;0
2019-12-30 02:30:00;0;0
2019-12-30 02:45:00;0;0
2019-12-30 03:00:00;0;0
2019-12-30 03:15:00;0;0
2019-12-30 03:30:00;0;0
2019-12-30 03:45:00;0;0
2019-12-30 04:00:00;0;0
2019-12-30 04:15:00;0;0
2019-12-30 04:30:00;0;0
2019-12-30 04:45:00;0;0
2019-12-30 05:00:00;0;0
2019-12-30 05:15:00;0;0
2019-12-30 05:30:00;0;0
2019-12-30 05:45:00;0;0
2019-12-30 06:00:00;2;1
2019-12-30 06:15:00;2;1
2019-12-30 06:30:00;2;0
2019-12-30 06:45:00;0;0
2019-12-30 07:00:00;2;2
2019-12-30 07:15:00;2;2
2019-12-30 07:30:00;5;0
2019-12-30 07:45:00;6;2
2019-12-30 08:00:00;3;3
2019-12-30 08:15:00;10;8
2019-12-30 08:30:00;4;1
2019-12-30 08:45:00;7;7
2019-12-30 09:00:00;8;0
2019-12-30 09:15:00;11;7
2019-12-30 09:30:00;7;2
2019-12-30 09:45:00;11;12
2019-12-30 10:00:00;12;4
2019-12-30 10:15:00;15;20
2019-12-30 10:30:00;17;2
2019-12-30 10:45:00;19;2
2019-12-30 11:00:00;16;1
2019-12-30 11:15:00;15;2
2019-12-30 11:30:00;21;3
2019-12-30 11:45:00;16;2
2019-12-30 12:00:00;21;6
2019-12-30 12:15:00;20;9
2019-12-30 12:30:00;20;1
2019-12-30 12:45:00;18;0
2019-12-30 13:00:00;7;2
2019-12-30 13:15:00;17;16
2019-12-30 13:30:00;21;2
2019-12-30 13:45:00;21;4
2019-12-30 14:00:00;23;6
2019-12-30 14:15:00;19;7
2019-12-30 14:30:00;20;6
2019-12-30 14:45:00;19;4
2019-12-30 15:00:00;21;12
2019-12-30 15:15:00;15;1
2019-12-30 15:30:00;23;0
2019-12-30 15:45:00;21;8
2019-12-30 16:00:00;23;6
2019-12-30 16:15:00;16;6
2019-12-30 16:30:00;21;14
2019-12-30 16:45:00;16;8
2019-12-30 17:00:00;20;4
2019-12-30 17:15:00;18;7
2019-12-30 17:30:00;15;1
2019-12-30 17:45:00;20;5
2019-12-30 18:00:00;9;2
2019-12-30 18:15:00;14;3
2019-12-30 18:30:00;19;1
2019-12-30 18:45:00;17;4
2019-12-30 19:00:00;12;10
2019-12-30 19:15:00;12;8
2019-12-30 19:30:00;6;2
2019-12-30 19:45:00;11;9
2019-12-30 20:00:00;18;7
2019-12-30 20:15:00;12;1
2019-12-30 20:30:00;4;0
2019-12-30 20:45:00;4;0
2019-12-30 21:00:00;3;1
2019-12-30 21:15:00;3;1
2019-12-30 21:30:00;1;0
2019-12-30 21:45:00;2;2
2019-12-30 22:00:00;1;0
2019-12-30 22:15:00;4;2
2019-12-30 22:30:00;2;4
2019-12-30 22:45:00;1;0
2019-12-30 23:00:00;0;0
2019-12-30 23:15:00;0;0
2019-12-30 23:30:00;0;0
2019-12-30 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
