DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-10-11 00:00:00;0;6;0;3;4;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0
2020-10-11 00:15:00;2;10;0;10;8;0;0;4;6;0;0;2;0;0;0;0;0;0;0;0
2020-10-11 00:30:00;0;5;0;6;3;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0
2020-10-11 00:45:00;0;4;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 01:00:00;0;4;0;3;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-10-11 01:15:00;1;8;0;3;2;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2020-10-11 01:30:00;1;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 01:45:00;0;8;0;6;5;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 02:00:00;1;3;0;4;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 02:15:00;0;6;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 02:30:00;0;3;0;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 02:45:00;0;7;0;3;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 03:00:00;0;2;0;0;3;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2020-10-11 03:15:00;0;4;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 03:30:00;0;1;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 03:45:00;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-10-11 04:00:00;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 04:15:00;0;5;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-11 04:30:00;1;6;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
