DATUM;1(TAFGA);2(MP0701);3(MP0702);4(MP0703);5(MP0704);6(MP0705);7(MP0706);8(MP0707);9(MP0708)
2020-12-01 00:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 00:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 00:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 00:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 01:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 01:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 01:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 01:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 02:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 02:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 02:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 02:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 03:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 03:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 03:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 03:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 04:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 04:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 04:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 04:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 05:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 05:15:00;0;0;0;0;0;0;0;0;0
2020-12-01 05:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 05:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 06:00:00;0;0;0;0;0;0;0;0;0
2020-12-01 06:15:00;7;0;0;0;0;0;0;0;0
2020-12-01 06:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 06:45:00;3;0;0;0;0;0;0;0;0
2020-12-01 07:00:00;55;0;0;0;0;0;0;0;0
2020-12-01 07:15:00;42;20;0;0;0;0;0;0;0
2020-12-01 07:30:00;69;0;0;0;0;0;0;0;0
2020-12-01 07:45:00;73;0;0;0;0;0;0;0;0
2020-12-01 08:00:00;55;4;0;0;0;0;0;0;0
2020-12-01 08:15:00;14;0;0;0;0;0;0;0;0
2020-12-01 08:30:00;16;2;0;0;0;0;0;0;0
2020-12-01 08:45:00;10;0;0;0;0;0;0;0;0
2020-12-01 09:00:00;1;2;0;0;0;0;0;0;0
2020-12-01 09:15:00;3;3;0;0;0;0;0;0;0
2020-12-01 09:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 09:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 10:00:00;3;1;0;0;0;0;0;0;0
2020-12-01 10:15:00;10;13;0;0;0;0;0;0;0
2020-12-01 10:30:00;1;0;0;0;0;0;0;0;0
2020-12-01 10:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 11:00:00;2;0;0;0;0;0;0;0;0
2020-12-01 11:15:00;9;2;0;0;0;0;0;0;0
2020-12-01 11:30:00;0;0;0;0;0;0;0;0;0
2020-12-01 11:45:00;5;1;0;0;0;0;0;0;0
2020-12-01 12:00:00;4;0;0;0;0;0;0;0;0
2020-12-01 12:15:00;6;0;0;0;0;0;0;0;0
2020-12-01 12:30:00;5;0;0;0;0;0;0;0;0
2020-12-01 12:45:00;9;1;0;0;0;0;0;0;0
2020-12-01 13:00:00;56;1;0;0;0;0;0;0;0
2020-12-01 13:15:00;21;1;0;0;0;0;0;0;0
2020-12-01 13:30:00;32;0;0;0;0;0;0;0;0
2020-12-01 13:45:00;19;0;0;0;0;0;0;0;0
2020-12-01 14:00:00;9;0;0;0;0;0;0;0;0
2020-12-01 14:15:00;11;0;0;0;0;0;0;0;0
2020-12-01 14:30:00;19;0;0;0;0;0;0;0;0
2020-12-01 14:45:00;30;11;0;0;0;0;0;0;0
2020-12-01 15:00:00;29;2;0;0;0;0;0;0;0
2020-12-01 15:15:00;9;5;0;0;0;0;0;0;0
2020-12-01 15:30:00;27;4;0;0;0;0;0;0;0
2020-12-01 15:45:00;10;0;0;0;0;0;0;0;0
2020-12-01 16:00:00;61;2;0;0;0;0;0;0;0
2020-12-01 16:15:00;36;0;0;0;0;0;0;0;0
2020-12-01 16:30:00;41;0;0;0;0;0;0;0;0
2020-12-01 16:45:00;5;0;0;0;0;0;0;0;0
2020-12-01 17:00:00;8;0;0;0;0;0;0;0;0
2020-12-01 17:15:00;8;0;0;0;0;0;0;0;0
2020-12-01 17:30:00;15;0;0;0;0;0;0;0;0
2020-12-01 17:45:00;2;0;0;0;0;0;0;0;0
2020-12-01 18:00:00;7;0;0;0;0;0;0;0;0
2020-12-01 18:15:00;3;0;0;0;0;0;0;0;0
2020-12-01 18:30:00;3;0;0;0;0;0;0;0;0
2020-12-01 18:45:00;0;0;0;0;0;0;0;0;0
2020-12-01 19:00:00;1;0;0;0;0;0;0;0;0
