DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2019-09-17 00:00:00;0;0;0;0
2019-09-17 00:15:00;0;0;0;0
2019-09-17 00:30:00;0;0;0;0
2019-09-17 00:45:00;0;0;0;0
2019-09-17 01:00:00;0;0;0;0
2019-09-17 01:15:00;0;0;0;0
2019-09-17 01:30:00;0;0;0;0
2019-09-17 01:45:00;0;0;0;0
2019-09-17 02:00:00;0;0;0;0
2019-09-17 02:15:00;0;0;0;0
2019-09-17 02:30:00;0;0;0;0
2019-09-17 02:45:00;0;0;0;0
2019-09-17 03:00:00;0;0;0;0
2019-09-17 03:15:00;0;0;0;0
2019-09-17 03:30:00;0;0;0;0
2019-09-17 03:45:00;0;0;0;0
2019-09-17 04:00:00;0;0;0;0
2019-09-17 04:15:00;0;0;0;0
2019-09-17 04:30:00;0;0;0;0
2019-09-17 04:45:00;0;0;0;0
2019-09-17 05:00:00;0;0;0;0
2019-09-17 05:15:00;0;0;0;0
2019-09-17 05:30:00;0;0;0;0
2019-09-17 05:45:00;0;0;0;0
2019-09-17 06:00:00;0;0;0;0
2019-09-17 06:15:00;0;0;0;0
2019-09-17 06:30:00;0;0;0;0
2019-09-17 06:45:00;0;0;0;0
2019-09-17 07:00:00;0;0;4;2
2019-09-17 07:15:00;0;0;1;14
2019-09-17 07:30:00;0;0;0;0
2019-09-17 07:45:00;0;0;3;4
2019-09-17 08:00:00;0;0;2;0
2019-09-17 08:15:00;0;0;0;0
2019-09-17 08:30:00;0;0;0;0
2019-09-17 08:45:00;0;0;1;0
2019-09-17 09:00:00;0;0;0;0
2019-09-17 09:15:00;0;0;2;3
2019-09-17 09:30:00;0;0;0;0
2019-09-17 09:45:00;0;0;0;0
2019-09-17 10:00:00;0;0;0;0
2019-09-17 10:15:00;0;0;0;0
2019-09-17 10:30:00;0;0;0;0
2019-09-17 10:45:00;0;0;1;0
2019-09-17 11:00:00;0;0;0;0
2019-09-17 11:15:00;0;0;0;0
2019-09-17 11:30:00;0;0;0;0
2019-09-17 11:45:00;0;0;0;0
2019-09-17 12:00:00;0;0;0;0
2019-09-17 12:15:00;0;0;0;0
2019-09-17 12:30:00;0;0;0;0
2019-09-17 12:45:00;0;0;0;0
2019-09-17 13:00:00;0;0;0;1
2019-09-17 13:15:00;0;0;5;20
2019-09-17 13:30:00;0;0;0;0
2019-09-17 13:45:00;0;0;0;0
2019-09-17 14:00:00;0;0;5;0
2019-09-17 14:15:00;0;0;0;0
2019-09-17 14:30:00;0;0;0;1
2019-09-17 14:45:00;0;0;1;0
2019-09-17 15:00:00;0;0;0;3
2019-09-17 15:15:00;0;0;3;6
2019-09-17 15:30:00;0;0;3;4
2019-09-17 15:45:00;0;0;0;0
2019-09-17 16:00:00;0;0;1;0
2019-09-17 16:15:00;0;0;2;4
2019-09-17 16:30:00;0;0;1;10
2019-09-17 16:45:00;0;0;1;3
2019-09-17 17:00:00;0;0;0;0
2019-09-17 17:15:00;0;0;2;0
2019-09-17 17:30:00;0;0;0;0
2019-09-17 17:45:00;0;0;1;0
2019-09-17 18:00:00;0;0;1;0
2019-09-17 18:15:00;0;0;0;0
2019-09-17 18:30:00;0;0;0;0
2019-09-17 18:45:00;0;0;0;0
2019-09-17 19:00:00;0;0;1;0
2019-09-17 19:15:00;0;0;0;0
2019-09-17 19:30:00;0;0;0;0
2019-09-17 19:45:00;0;0;0;0
2019-09-17 20:00:00;0;0;0;0
2019-09-17 20:15:00;0;0;0;0
2019-09-17 20:30:00;0;0;0;0
2019-09-17 20:45:00;0;0;0;0
2019-09-17 21:00:00;0;0;0;0
2019-09-17 21:15:00;0;0;0;0
2019-09-17 21:30:00;0;0;0;0
2019-09-17 21:45:00;0;0;0;0
2019-09-17 22:00:00;0;0;0;0
2019-09-17 22:15:00;0;0;0;0
2019-09-17 22:30:00;0;0;0;0
2019-09-17 22:45:00;0;0;0;0
2019-09-17 23:00:00;0;0;0;0
2019-09-17 23:15:00;0;0;0;0
2019-09-17 23:30:00;0;0;0;0
2019-09-17 23:45:00;0;0;0;0
