DATUM;1(TAFGA);2(TAFBA)
2019-11-24 00:00:00;0;0
2019-11-24 00:15:00;3;2
2019-11-24 00:30:00;0;0
2019-11-24 00:45:00;0;0
2019-11-24 01:00:00;0;0
2019-11-24 01:15:00;0;0
2019-11-24 01:30:00;0;0
2019-11-24 01:45:00;0;0
2019-11-24 02:00:00;0;0
2019-11-24 02:15:00;0;0
2019-11-24 02:30:00;0;0
2019-11-24 02:45:00;0;0
2019-11-24 03:00:00;0;0
2019-11-24 03:15:00;0;0
2019-11-24 03:30:00;0;0
2019-11-24 03:45:00;0;0
2019-11-24 04:00:00;0;0
2019-11-24 04:15:00;0;0
2019-11-24 04:30:00;0;0
2019-11-24 04:45:00;0;0
2019-11-24 05:00:00;0;0
2019-11-24 05:15:00;0;0
2019-11-24 05:30:00;0;0
2019-11-24 05:45:00;0;0
2019-11-24 06:00:00;0;0
2019-11-24 06:15:00;0;0
2019-11-24 06:30:00;0;0
2019-11-24 06:45:00;0;0
2019-11-24 07:00:00;0;0
2019-11-24 07:15:00;0;0
2019-11-24 07:30:00;0;0
2019-11-24 07:45:00;0;0
2019-11-24 08:00:00;2;0
2019-11-24 08:15:00;0;0
2019-11-24 08:30:00;0;0
2019-11-24 08:45:00;0;0
2019-11-24 09:00:00;4;1
2019-11-24 09:15:00;4;1
2019-11-24 09:30:00;1;1
2019-11-24 09:45:00;7;1
2019-11-24 10:00:00;6;5
2019-11-24 10:15:00;5;2
2019-11-24 10:30:00;4;2
2019-11-24 10:45:00;2;2
2019-11-24 11:00:00;14;0
2019-11-24 11:15:00;7;3
2019-11-24 11:30:00;6;2
2019-11-24 11:45:00;11;2
2019-11-24 12:00:00;14;2
2019-11-24 12:15:00;8;2
2019-11-24 12:30:00;4;1
2019-11-24 12:45:00;14;1
2019-11-24 13:00:00;9;4
2019-11-24 13:15:00;8;4
2019-11-24 13:30:00;11;3
2019-11-24 13:45:00;18;3
2019-11-24 14:00:00;7;6
2019-11-24 14:15:00;21;25
2019-11-24 14:30:00;10;0
2019-11-24 14:45:00;15;4
2019-11-24 15:00:00;14;8
2019-11-24 15:15:00;10;26
2019-11-24 15:30:00;9;7
2019-11-24 15:45:00;14;5
2019-11-24 16:00:00;9;2
2019-11-24 16:15:00;14;6
2019-11-24 16:30:00;17;11
2019-11-24 16:45:00;9;8
2019-11-24 17:00:00;17;6
2019-11-24 17:15:00;13;8
2019-11-24 17:30:00;8;1
2019-11-24 17:45:00;11;8
2019-11-24 18:00:00;15;6
2019-11-24 18:15:00;6;2
2019-11-24 18:30:00;5;6
2019-11-24 18:45:00;9;3
2019-11-24 19:00:00;8;3
2019-11-24 19:15:00;7;20
2019-11-24 19:30:00;3;3
2019-11-24 19:45:00;6;4
2019-11-24 20:00:00;10;3
2019-11-24 20:15:00;5;3
2019-11-24 20:30:00;6;0
2019-11-24 20:45:00;3;3
2019-11-24 21:00:00;5;8
2019-11-24 21:15:00;2;2
2019-11-24 21:30:00;2;1
2019-11-24 21:45:00;0;0
2019-11-24 22:00:00;2;1
2019-11-24 22:15:00;2;0
2019-11-24 22:30:00;1;0
2019-11-24 22:45:00;1;0
2019-11-24 23:00:00;0;0
2019-11-24 23:15:00;0;0
2019-11-24 23:30:00;0;0
2019-11-24 23:45:00;0;0
