DATUM;1(TAFGA);2(TAFBA)
2020-02-13 00:00:00;0;0
2020-02-13 00:15:00;0;0
2020-02-13 00:30:00;0;0
2020-02-13 00:45:00;0;0
2020-02-13 01:00:00;0;0
2020-02-13 01:15:00;0;0
2020-02-13 01:30:00;0;0
2020-02-13 01:45:00;0;0
2020-02-13 02:00:00;0;0
2020-02-13 02:15:00;0;0
2020-02-13 02:30:00;0;0
2020-02-13 02:45:00;0;0
2020-02-13 03:00:00;0;0
2020-02-13 03:15:00;0;0
2020-02-13 03:30:00;0;0
2020-02-13 03:45:00;0;0
2020-02-13 04:00:00;0;0
2020-02-13 04:15:00;0;0
2020-02-13 04:30:00;0;0
2020-02-13 04:45:00;0;0
2020-02-13 05:00:00;0;0
2020-02-13 05:15:00;1;0
2020-02-13 05:30:00;3;2
2020-02-13 05:45:00;10;3
2020-02-13 06:00:00;5;4
2020-02-13 06:15:00;7;10
2020-02-13 06:30:00;7;0
2020-02-13 06:45:00;7;0
2020-02-13 07:00:00;8;3
2020-02-13 07:15:00;13;5
2020-02-13 07:30:00;8;5
2020-02-13 07:45:00;11;5
2020-02-13 08:00:00;18;3
2020-02-13 08:15:00;8;6
2020-02-13 08:30:00;11;3
2020-02-13 08:45:00;13;0
2020-02-13 09:00:00;7;0
2020-02-13 09:15:00;10;0
2020-02-13 09:30:00;17;4
2020-02-13 09:45:00;11;1
2020-02-13 10:00:00;12;4
2020-02-13 10:15:00;13;0
2020-02-13 10:30:00;14;3
2020-02-13 10:45:00;15;5
2020-02-13 11:00:00;18;4
2020-02-13 11:15:00;19;5
2020-02-13 11:30:00;16;6
2020-02-13 11:45:00;17;5
2020-02-13 12:00:00;18;1
2020-02-13 12:15:00;14;6
2020-02-13 12:30:00;27;6
2020-02-13 12:45:00;15;2
2020-02-13 13:00:00;16;12
2020-02-13 13:15:00;20;6
2020-02-13 13:30:00;25;4
2020-02-13 13:45:00;22;3
2020-02-13 14:00:00;25;35
2020-02-13 14:15:00;19;6
2020-02-13 14:30:00;22;3
2020-02-13 14:45:00;16;2
2020-02-13 15:00:00;13;3
2020-02-13 15:15:00;18;8
2020-02-13 15:30:00;16;3
2020-02-13 15:45:00;17;10
2020-02-13 16:00:00;15;2
2020-02-13 16:15:00;12;6
2020-02-13 16:30:00;13;6
2020-02-13 16:45:00;18;4
2020-02-13 17:00:00;14;5
2020-02-13 17:15:00;17;11
2020-02-13 17:30:00;17;4
2020-02-13 17:45:00;10;1
2020-02-13 18:00:00;22;2
2020-02-13 18:15:00;17;4
2020-02-13 18:30:00;15;6
2020-02-13 18:45:00;16;1
2020-02-13 19:00:00;14;2
2020-02-13 19:15:00;12;14
2020-02-13 19:30:00;8;4
2020-02-13 19:45:00;10;5
2020-02-13 20:00:00;11;0
2020-02-13 20:15:00;9;0
2020-02-13 20:30:00;7;3
2020-02-13 20:45:00;4;1
2020-02-13 21:00:00;3;1
2020-02-13 21:15:00;1;0
2020-02-13 21:30:00;2;0
2020-02-13 21:45:00;3;1
2020-02-13 22:00:00;7;2
2020-02-13 22:15:00;5;1
2020-02-13 22:30:00;1;2
2020-02-13 22:45:00;2;2
2020-02-13 23:00:00;0;0
2020-02-13 23:15:00;0;0
2020-02-13 23:30:00;0;0
2020-02-13 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
