DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2019-12-01 00:00:00;0;0;0;0;0;0;0;0
2019-12-01 00:15:00;0;2;1;1;0;0;0;0
2019-12-01 00:30:00;0;4;2;1;1;0;0;0
2019-12-01 00:45:00;0;6;2;0;0;0;0;0
2019-12-01 01:00:00;0;0;2;1;0;0;0;0
2019-12-01 01:15:00;0;2;0;0;0;0;0;0
2019-12-01 01:30:00;0;2;0;0;0;0;0;0
2019-12-01 01:45:00;0;3;0;0;0;0;0;0
2019-12-01 02:00:00;0;1;0;0;0;0;0;0
2019-12-01 02:15:00;0;0;0;0;0;0;0;0
2019-12-01 02:30:00;0;0;0;0;0;0;0;0
2019-12-01 02:45:00;0;0;0;0;0;0;0;0
2019-12-01 03:00:00;0;3;1;0;0;0;0;0
2019-12-01 03:15:00;0;0;1;0;0;0;0;0
2019-12-01 03:30:00;0;1;0;0;0;0;0;0
2019-12-01 03:45:00;0;3;2;0;0;0;0;0
2019-12-01 04:00:00;0;2;0;0;0;0;0;0
2019-12-01 04:15:00;0;0;0;0;0;0;0;0
2019-12-01 04:30:00;0;0;0;0;0;0;0;0
2019-12-01 04:45:00;0;0;0;0;0;0;0;0
2019-12-01 05:00:00;0;1;1;1;0;0;0;0
2019-12-01 05:15:00;0;2;1;0;0;0;0;0
2019-12-01 05:30:00;0;1;3;1;0;0;0;0
2019-12-01 05:45:00;0;0;1;0;0;0;0;0
2019-12-01 06:00:00;0;3;1;0;1;0;0;0
2019-12-01 06:15:00;0;2;1;0;0;0;0;0
2019-12-01 06:30:00;0;2;4;0;0;0;0;0
2019-12-01 06:45:00;0;0;15;9;0;0;0;0
2019-12-01 07:00:00;0;0;8;2;0;0;0;0
2019-12-01 07:15:00;0;0;3;2;0;0;0;0
2019-12-01 07:30:00;1;1;1;0;0;0;0;0
2019-12-01 07:45:00;0;7;1;1;0;0;0;0
