DATUM;1(TAFGA);2(TAFBA)
2020-12-15 00:00:00;0;0
2020-12-15 00:15:00;0;0
2020-12-15 00:30:00;0;0
2020-12-15 00:45:00;0;0
2020-12-15 01:00:00;0;0
2020-12-15 01:15:00;0;0
2020-12-15 01:30:00;0;0
2020-12-15 01:45:00;0;0
2020-12-15 02:00:00;0;0
2020-12-15 02:15:00;0;0
2020-12-15 02:30:00;0;0
2020-12-15 02:45:00;0;0
2020-12-15 03:00:00;0;0
2020-12-15 03:15:00;0;0
2020-12-15 03:30:00;0;0
2020-12-15 03:45:00;0;0
2020-12-15 04:00:00;0;0
2020-12-15 04:15:00;0;0
2020-12-15 04:30:00;0;0
2020-12-15 04:45:00;0;0
2020-12-15 05:00:00;0;0
2020-12-15 05:15:00;0;0
2020-12-15 05:30:00;0;0
2020-12-15 05:45:00;0;0
2020-12-15 06:00:00;0;0
2020-12-15 06:15:00;0;0
2020-12-15 06:30:00;0;0
2020-12-15 06:45:00;6;0
2020-12-15 07:00:00;1;0
2020-12-15 07:15:00;0;0
2020-12-15 07:30:00;17;0
2020-12-15 07:45:00;15;3
2020-12-15 08:00:00;25;1
2020-12-15 08:15:00;12;88
2020-12-15 08:30:00;0;0
2020-12-15 08:45:00;0;0
2020-12-15 09:00:00;5;1
2020-12-15 09:15:00;8;0
2020-12-15 09:30:00;1;0
2020-12-15 09:45:00;9;0
2020-12-15 10:00:00;0;0
2020-12-15 10:15:00;9;0
2020-12-15 10:30:00;7;0
2020-12-15 10:45:00;1;0
2020-12-15 11:00:00;3;0
2020-12-15 11:15:00;13;0
2020-12-15 11:30:00;15;0
2020-12-15 11:45:00;0;0
2020-12-15 12:00:00;37;0
2020-12-15 12:15:00;32;0
2020-12-15 12:30:00;8;0
2020-12-15 12:45:00;5;0
2020-12-15 13:00:00;6;0
2020-12-15 13:15:00;38;0
2020-12-15 13:30:00;19;0
2020-12-15 13:45:00;17;0
2020-12-15 14:00:00;4;0
2020-12-15 14:15:00;17;0
2020-12-15 14:30:00;20;0
2020-12-15 14:45:00;70;6
2020-12-15 15:00:00;35;5
2020-12-15 15:15:00;17;0
2020-12-15 15:30:00;13;13
2020-12-15 15:45:00;7;0
2020-12-15 16:00:00;34;5
2020-12-15 16:15:00;24;12
2020-12-15 16:30:00;52;0
2020-12-15 16:45:00;6;0
2020-12-15 17:00:00;13;0
2020-12-15 17:15:00;2;2
2020-12-15 17:30:00;28;0
2020-12-15 17:45:00;0;0
2020-12-15 18:00:00;0;0
2020-12-15 18:15:00;2;0
2020-12-15 18:30:00;0;0
2020-12-15 18:45:00;1;0
2020-12-15 19:00:00;7;0
2020-12-15 19:15:00;0;0
2020-12-15 19:30:00;5;0
2020-12-15 19:45:00;5;0
2020-12-15 20:00:00;0;0
2020-12-15 20:15:00;0;0
2020-12-15 20:30:00;0;0
2020-12-15 20:45:00;0;0
2020-12-15 21:00:00;0;0
2020-12-15 21:15:00;0;0
2020-12-15 21:30:00;0;0
2020-12-15 21:45:00;0;0
2020-12-15 22:00:00;0;0
2020-12-15 22:15:00;0;0
2020-12-15 22:30:00;0;0
2020-12-15 22:45:00;0;0
2020-12-15 23:00:00;0;0
2020-12-15 23:15:00;0;0
2020-12-15 23:30:00;0;0
