DATUM;1(TAFGA);2(MP0701);3(MP0702);4(MP0703);5(MP0704);6(MP0705);7(MP0706);8(MP0707);9(MP0708)
2020-09-24 00:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 00:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 00:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 00:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 01:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 01:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 01:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 01:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 02:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 02:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 02:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 02:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 03:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 03:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 03:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 03:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 04:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 04:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 04:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 04:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 05:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 05:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 05:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 05:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 06:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 06:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 06:30:00;3;0;0;0;0;0;0;0;0
2020-09-24 06:45:00;2;5;0;0;0;0;0;0;0
2020-09-24 07:00:00;27;0;0;0;0;0;0;0;0
2020-09-24 07:15:00;36;4;0;0;0;0;0;0;0
2020-09-24 07:30:00;29;5;0;0;0;0;0;0;0
2020-09-24 07:45:00;34;2;0;0;0;0;0;0;0
2020-09-24 08:00:00;16;4;0;0;0;0;0;0;0
2020-09-24 08:15:00;35;1;0;0;0;0;0;0;0
2020-09-24 08:30:00;1;0;0;0;0;0;0;0;0
2020-09-24 08:45:00;11;0;0;0;0;0;0;0;0
2020-09-24 09:00:00;5;1;0;0;0;0;0;0;0
2020-09-24 09:15:00;7;0;0;0;0;0;0;0;0
2020-09-24 09:30:00;7;0;0;0;0;0;0;0;0
2020-09-24 09:45:00;13;0;0;0;0;0;0;0;0
2020-09-24 10:00:00;2;0;0;0;0;0;0;0;0
2020-09-24 10:15:00;6;2;0;0;0;0;0;0;0
2020-09-24 10:30:00;5;0;0;0;0;0;0;0;0
2020-09-24 10:45:00;4;0;0;0;0;0;0;0;0
2020-09-24 11:00:00;16;0;0;0;0;0;0;0;0
2020-09-24 11:15:00;15;2;0;0;0;0;0;0;0
2020-09-24 11:30:00;7;0;0;0;0;0;0;0;0
2020-09-24 11:45:00;6;0;0;0;0;0;0;0;0
2020-09-24 12:00:00;15;0;0;0;0;0;0;0;0
2020-09-24 12:15:00;1;0;0;0;0;0;0;0;0
2020-09-24 12:30:00;17;0;0;0;0;0;0;0;0
2020-09-24 12:45:00;5;0;0;0;0;0;0;0;0
2020-09-24 13:00:00;19;4;0;0;0;0;0;0;0
2020-09-24 13:15:00;31;9;0;0;0;0;0;0;0
2020-09-24 13:30:00;20;2;0;0;0;0;0;0;0
2020-09-24 13:45:00;18;0;0;0;0;0;0;0;0
2020-09-24 14:00:00;79;22;0;0;0;0;0;0;0
2020-09-24 14:15:00;23;5;0;0;0;0;0;0;0
2020-09-24 14:30:00;9;0;0;0;0;0;0;0;0
2020-09-24 14:45:00;38;1;0;0;0;0;0;0;0
2020-09-24 15:00:00;25;1;0;0;0;0;0;0;0
2020-09-24 15:15:00;10;0;0;0;0;0;0;0;0
2020-09-24 15:30:00;37;33;0;0;0;0;0;0;0
2020-09-24 15:45:00;39;23;0;0;0;0;0;0;0
2020-09-24 16:00:00;47;21;0;0;0;0;0;0;0
2020-09-24 16:15:00;13;8;0;0;0;0;0;0;0
2020-09-24 16:30:00;26;0;0;0;0;0;0;0;0
2020-09-24 16:45:00;13;10;0;0;0;0;0;0;0
2020-09-24 17:00:00;11;0;0;0;0;0;0;0;0
2020-09-24 17:15:00;16;11;0;0;0;0;0;0;0
2020-09-24 17:30:00;13;0;0;0;0;0;0;0;0
2020-09-24 17:45:00;1;0;0;0;0;0;0;0;0
2020-09-24 18:00:00;19;1;0;0;0;0;0;0;0
2020-09-24 18:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 18:30:00;9;0;0;0;0;0;0;0;0
2020-09-24 18:45:00;17;0;0;0;0;0;0;0;0
2020-09-24 19:00:00;2;2;0;0;0;0;0;0;0
2020-09-24 19:15:00;2;4;0;0;0;0;0;0;0
2020-09-24 19:30:00;1;0;0;0;0;0;0;0;0
2020-09-24 19:45:00;13;5;0;0;0;0;0;0;0
2020-09-24 20:00:00;16;1;0;0;0;0;0;0;0
2020-09-24 20:15:00;3;0;0;0;0;0;0;0;0
2020-09-24 20:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 20:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 21:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 21:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 21:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 21:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 22:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 22:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 22:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 22:45:00;0;0;0;0;0;0;0;0;0
2020-09-24 23:00:00;0;0;0;0;0;0;0;0;0
2020-09-24 23:15:00;0;0;0;0;0;0;0;0;0
2020-09-24 23:30:00;0;0;0;0;0;0;0;0;0
2020-09-24 23:45:00;0;0;0;0;0;0;0;0;0
