DATUM;1(TAFGA);2(TAFBA)
2019-09-18 00:00:00;0;0
2019-09-18 00:15:00;0;0
2019-09-18 00:30:00;0;0
2019-09-18 00:45:00;0;0
2019-09-18 01:00:00;0;0
2019-09-18 01:15:00;0;0
2019-09-18 01:30:00;0;0
2019-09-18 01:45:00;0;0
2019-09-18 02:00:00;0;0
2019-09-18 02:15:00;0;0
2019-09-18 02:30:00;0;0
2019-09-18 02:45:00;0;0
2019-09-18 03:00:00;0;0
2019-09-18 03:15:00;0;0
2019-09-18 03:30:00;0;0
2019-09-18 03:45:00;0;0
2019-09-18 04:00:00;0;0
2019-09-18 04:15:00;0;0
2019-09-18 04:30:00;0;0
2019-09-18 04:45:00;0;0
2019-09-18 05:00:00;0;0
2019-09-18 05:15:00;0;0
2019-09-18 05:30:00;0;0
2019-09-18 05:45:00;0;0
2019-09-18 06:00:00;0;0
2019-09-18 06:15:00;0;0
2019-09-18 06:30:00;6;0
2019-09-18 06:45:00;4;0
2019-09-18 07:00:00;9;0
2019-09-18 07:15:00;34;6
2019-09-18 07:30:00;127;10
2019-09-18 07:45:00;73;4
2019-09-18 08:00:00;10;19
2019-09-18 08:15:00;7;1
2019-09-18 08:30:00;22;3
2019-09-18 08:45:00;4;0
2019-09-18 09:00:00;3;0
2019-09-18 09:15:00;1;0
2019-09-18 09:30:00;8;0
2019-09-18 09:45:00;1;0
2019-09-18 10:00:00;9;1
2019-09-18 10:15:00;7;0
2019-09-18 10:30:00;0;0
2019-09-18 10:45:00;0;0
2019-09-18 11:00:00;0;0
2019-09-18 11:15:00;1;0
2019-09-18 11:30:00;32;0
2019-09-18 11:45:00;16;7
2019-09-18 12:00:00;20;0
2019-09-18 12:15:00;28;0
2019-09-18 12:30:00;9;0
2019-09-18 12:45:00;13;0
2019-09-18 13:00:00;6;0
2019-09-18 13:15:00;120;0
2019-09-18 13:30:00;111;0
2019-09-18 13:45:00;24;0
2019-09-18 14:00:00;16;0
2019-09-18 14:15:00;13;0
2019-09-18 14:30:00;105;5
2019-09-18 14:45:00;8;5
2019-09-18 15:00:00;25;0
2019-09-18 15:15:00;70;13
2019-09-18 15:30:00;38;8
2019-09-18 15:45:00;39;4
2019-09-18 16:00:00;12;1
2019-09-18 16:15:00;31;0
2019-09-18 16:30:00;44;7
2019-09-18 16:45:00;15;0
2019-09-18 17:00:00;24;2
2019-09-18 17:15:00;79;0
2019-09-18 17:30:00;17;2
2019-09-18 17:45:00;25;4
2019-09-18 18:00:00;13;0
2019-09-18 18:15:00;25;0
2019-09-18 18:30:00;27;0
2019-09-18 18:45:00;13;0
2019-09-18 19:00:00;20;0
2019-09-18 19:15:00;5;0
2019-09-18 19:30:00;0;0
2019-09-18 19:45:00;5;0
2019-09-18 20:00:00;0;0
2019-09-18 20:15:00;0;0
2019-09-18 20:30:00;0;0
2019-09-18 20:45:00;0;0
2019-09-18 21:00:00;0;0
2019-09-18 21:15:00;0;0
2019-09-18 21:30:00;0;0
2019-09-18 21:45:00;0;0
2019-09-18 22:00:00;0;0
2019-09-18 22:15:00;0;0
2019-09-18 22:30:00;0;0
2019-09-18 22:45:00;0;0
2019-09-18 23:00:00;0;0
2019-09-18 23:15:00;0;0
2019-09-18 23:30:00;0;0
2019-09-18 23:45:00;0;0
