DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-12-29 00:00:00;0;0;0;0;0;4;0;0;1
2020-12-29 00:15:00;3;2;1;1;0;1;1;0;0
2020-12-29 00:30:00;1;0;0;0;0;2;0;0;1
2020-12-29 00:45:00;4;2;1;0;2;1;0;0;0
2020-12-29 01:00:00;3;0;0;1;0;3;0;0;1
2020-12-29 01:15:00;0;1;0;1;0;2;2;0;1
2020-12-29 01:30:00;3;0;0;1;0;2;3;0;2
2020-12-29 01:45:00;2;0;2;1;0;1;1;0;0
2020-12-29 02:00:00;1;0;0;0;0;1;2;0;0
2020-12-29 02:15:00;1;0;1;1;1;1;2;0;5
2020-12-29 02:30:00;1;1;1;1;1;1;0;0;2
2020-12-29 02:45:00;1;1;2;0;0;2;1;0;4
2020-12-29 03:00:00;2;0;0;0;0;1;0;0;4
2020-12-29 03:15:00;2;4;2;1;1;2;2;0;2
2020-12-29 03:30:00;2;1;1;2;0;3;0;0;1
2020-12-29 03:45:00;0;1;0;4;2;3;1;0;0
2020-12-29 04:00:00;0;2;0;3;0;2;0;0;1
2020-12-29 04:15:00;0;1;2;2;3;5;0;0;3
2020-12-29 04:30:00;2;2;1;5;0;3;3;0;2
2020-12-29 04:45:00;5;2;0;11;1;2;2;0;3
2020-12-29 05:00:00;5;2;1;2;0;5;4;0;4
