DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2019-10-06 00:00:00;0;0;0;1;1;4;4;1;21;0;0;0;0;0;0
2019-10-06 00:15:00;0;0;0;2;2;1;1;0;15;0;0;0;0;0;0
2019-10-06 00:30:00;0;0;0;1;1;1;1;0;13;0;0;0;0;0;0
2019-10-06 00:45:00;0;0;0;2;2;0;0;0;8;0;0;0;0;0;0
2019-10-06 01:00:00;0;0;0;2;2;4;4;0;11;0;0;0;0;0;0
2019-10-06 01:15:00;0;0;0;4;4;4;3;1;10;0;0;0;0;0;0
2019-10-06 01:30:00;0;0;0;2;1;2;2;2;8;0;0;0;0;0;0
2019-10-06 01:45:00;0;0;0;3;2;2;1;0;1;0;0;0;0;0;0
2019-10-06 02:00:00;0;0;0;2;2;1;0;0;6;0;0;0;0;0;0
2019-10-06 02:15:00;0;0;0;2;2;3;3;0;8;0;0;0;0;0;0
2019-10-06 02:30:00;0;0;0;0;0;2;2;0;3;0;0;0;0;0;0
2019-10-06 02:45:00;0;0;0;2;1;1;1;0;1;0;0;0;0;0;0
2019-10-06 03:00:00;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0
2019-10-06 03:15:00;0;0;0;1;1;1;1;0;3;0;0;0;0;0;0
2019-10-06 03:30:00;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0
2019-10-06 03:45:00;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0
2019-10-06 04:00:00;0;0;0;2;2;0;1;0;4;0;0;0;0;0;0
2019-10-06 04:15:00;0;0;0;4;4;3;3;0;1;0;0;0;0;0;0
2019-10-06 04:30:00;0;0;0;1;1;1;1;0;2;0;0;0;0;0;0
2019-10-06 04:45:00;0;0;0;1;1;1;1;1;3;0;0;0;0;0;0
2019-10-06 05:00:00;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
2019-10-06 05:15:00;0;0;0;2;2;1;1;0;5;0;0;0;0;0;0
2019-10-06 05:30:00;0;0;0;1;1;2;2;1;3;0;0;0;0;0;0
2019-10-06 05:45:00;0;0;0;2;2;3;2;0;2;0;0;0;0;0;0
2019-10-06 06:00:00;0;0;0;1;1;4;4;0;4;0;0;0;0;0;0
2019-10-06 06:15:00;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
2019-10-06 06:30:00;0;0;0;1;1;1;1;1;4;0;0;0;0;0;0
